"DeptCode","VoteNumberModified","VoteStatType","DescriptionE","DescriptionF","TotalAuthorityCurrent","ExpenditureatquarterendCurrent","TotalExpenditureCurrent","TotalAuthorityPrevious","ExpenditureatquarterendPrevious","TotalExpenditurePrevious"
"OCSEC",30,1,"Operating/Program","Fonctionnement/Programme",2097000,409000,1235000,2260000,368000,1246000
"OCSEC","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",134000,33000,100000,134000,45000,112000
"ODPP",35,1,"Operating/Program","Fonctionnement/Programme",170763000,36277000,109629000,165196000,33960000,95738000
"ODPP","S",999,"Statutory authority","Autorisations législative",18248000,4562000,13686000,18790000,4698000,14093000
"OICC",35,1,"Operating/Program","Fonctionnement/Programme",45848000,9511000,26667000,53861000,10940000,31111000
"OICC",40,3,"Grants & Contributions","Subventions et Contributions",4102031000,1415700000,2902193000,5153951000,1062716000,2560588000
"OICC","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",4986000,1247000,3740000,4973000,1243000,3730000
"OICC","S",999,"Green Infrastructure Fund","Fonds pour l'infrastructure verte",0,0,0,99418000,2607000,3419000
"OPSIC",50,1,"Operating/Program","Fonctionnement/Programme",5450002,1317871,3618193,5565572,1249242,3465663
"OPSIC","S",999,"Statutory Authorities","Autorisations législatives",520799,130199,390599,523072,130768,392304
"ORL",45,1,"Operating/Program","Fonctionnement/Programme",4177000,878000,2540000,4468000,1204000,2918000
"ORL","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d'avantages sociaux des employés",435000,109000,326000,435000,109000,326000
"PCA",20,1,"Operating/Program","Fonctionnement/Programme",655685000,139252000,348526000,604018000,107630000,328252000
"PCA",25,9,"Other","Autre",500000,0,0,500000,0,0
"PCA","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",48987000,16198000,40494000,51763000,12941000,38823000
"PCA","S",999,"Expenditures equivalent to revenues resulting from the conduct of operations pursuant to section 20 of the Parks Canada Agency Act","Dépenses qui équivalent aux revenus résultant de la poursuite des opérations en vertu de l'article 20 de la Loi sur l'Agence Parcs Canada",111000000,31084000,96283000,111000000,26460000,98104000
"PCC",65,1,"Operating/Program","Fonctionnement/Programme",9396000,1425000,4346000,7883000,1862000,4858000
"PCC","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",1006000,144000,432000,576000,288000,432000
"PCO",1,1,"Operating/Program","Fonctionnement/Programme",115563000,26242000,74375000,126297000,28093000,77619000
"PCO","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",14085000,3500000,10498000,14578000,3645000,10934000
"PCO","S",999,"Leader of the Government in the Senate - Salary and motor car allowance","Leader du gouvernement au Sénat - Traitement et allocation pour automobile",79000,0,22000,78000,20000,58000
"PCO","S",999,"Leader of the Govertnment in he House of Commons - Salary and motor car allowance","Leader du gouvernement à la Chambre des communes - Traitement et allocation pour automobile",79000,20000,59000,78000,19000,57000
"PCO","S",999,"Minister of Infrastructure, Communities and Intergovernmental Affairs and Minister of the Economic Development Agency of Canada for the Regions of Quebec - Salary and motor car allowance","Ministre de l'Infrastructure, des Collectivités et des Affaires intergouvernementales et ministre de l'Agence de développement économique du Canada pour les régions du Québec - Traitement et allocation pour automobile",79000,0,1000,78000,20000,58000
"PCO","S",999,"Minister of State (Democratic Reform) - Motor car allowance","Ministre d'État (Réforme démocratique) - Allocation pour automobile",2000,1000,2000,2000,0,2000
"PCO","S",999,"Minister of State and Chief Government Whip - Motor car allowance","Ministre d'État et whip en chef du gouvernement - Allocation pour automobile",2000,1000,2000,2000,0,2000
"PCO","S",999,"Prime Minister - Salary and motor car allowance","Premier ministre - Traitement et allocation pour automobile",163000,39000,121000,160000,40000,120000
"PCO","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l’État",23000,0,0,0,0,0
"PHAC",45,1,"Operating/Program","Fonctionnement/Programme",374823000,119829000,241115000,384871000,68924000,200145000
"PHAC",50,2,"Capital","Capital",13849000,834000,3181000,18755000,1552000,7060000
"PHAC",55,3,"Grants & Contributions","Subventions et Contributions",209742000,19669000,164172000,202435000,60122000,154824000
"PHAC","S",999,"Collection agency fees","Droits des agences de recouvrement",0,0,0,0,-1000,0
"PHAC","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",33341000,8030000,24091000,32838000,8209000,24628000
"PHAC","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",0,0,0,3000,0,3000
"PHAC","S",999,"Spending of Revenues pursuant to section 4.2 of the Department of Health Act","Dépense des recettes conformément au paragraphe 4.2 de la Loi sur le ministère de la Santé",14027000,8703000,8703000,0,0,0
"PHAC","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",59000,4000,46000,24000,4000,22000
"PMPRB",40,1,"Operating/Program","Fonctionnement/Programme",10491000,1809000,4689000,11163000,1680000,4684000
"PMPRB","S",999,"Collection agency fees","Honoraires – Agence de recouvrements",0,0,0,0,0,0
"PMPRB","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",1026000,256000,769000,1053000,264000,789000
"PMPRB","S",999,"Court Awards","Montants adjugés par une cour",71000,0,71000,0,0,0
"PMPRB","S",999,"Refunds of amounts credited to revenues in previous years","Remboursement de montants portés aux revenus d´exercices antérieurs",2801000,0,2801000,0,0,0
"PMPRB","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l´État",0,0,0,0,0,0
"PSC",95,1,"Operating/Program","Fonctionnement/Programme",81754000,20381000,56345000,85847000,20846000,59776000
"PSC","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",13171000,2195000,8781000,13620000,3405000,10215000
"PSC","S",999,"Proceeds from Crown Asset Disposal","Produit de l’aliénation des biens de la Couronne",0,0,0,1000,1000,1000
"PSC","S",999,"Refund of Previous Year Revenue","Remboursement de recettes de l’exercice antérieur",0,-2000,0,0,-2000,1000
"PSEP",1,1,"Operating/Program","Fonctionnement/Programme",132334000,30475000,87073000,136790000,31956000,84304000
"PSEP",5,3,"Grants & Contributions","Subventions et Contributions",1219531000,40251000,326280000,479441000,38199000,164225000
"PSEP","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",15916000,3965000,11896000,15056000,3764000,11292000
"PSEP","S",999,"Minister's Salary and Motor Car Allowan","Traitement et allocation pour automobile du ministre",79000,20000,54000,78000,19000,58000
"PSSRB",100,1,"Operating/Program","Fonctionnement/Programme",13110704,3023798,8214029,13119344,3126752,8296048
"PSSRB","S",999,"Statutory authorities","Autorisations budgétaires législatives",1304347,326087,978260,1310757,327689,983068
"PSST",105,1,"Operating/Program","Fonctionnement/Programme",5107905,1018904,3131801,5130313,1001519,3169893
"PSST","S",999,"Budgetary statutory authorities","Autorisations législatives budgétaires",611000,152750,458250,614407,153602,460805
"RCMP",45,1,"Operating/Program","Fonctionnement/Programme",2043496000,585595000,1519508000,2343340000,348227000,1598714000
"RCMP",50,2,"Capital","Capital",336172000,50117000,105131000,340895000,38214000,96161000
"RCMP",55,3,"Grants & Contributions","Subventions et Contributions",153072000,33209000,98550000,140454000,29146000,86596000
"RCMP","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",92921000,23220000,69660000,83198000,20799000,62398000
"RCMP","S",999,"Court Awards","Montants adjugés par une cour",0,17000,20000,0,-12000,550000
"RCMP","S",999,"Pensions and other employee benefits — Members of the Force","Pensions et autres prestations des employés - Membres de la GRC",371520000,97112000,277355000,332791000,88449000,262717000
"RCMP","S",999,"Pensions under the Royal Canadian Mounted Police Pension Continuation Act","Pensions aux termes de la Loi sur la continuation des pensions de la Gendarmerie royale du Canada",14000000,3040000,9292000,17500000,3412000,10650000
"RCMP","S",999,"Proceeds from the Disposal of Crown Assets under the Surplus Crown Assets Act","Produits de la vente des biens de l'État en vertu de la Loi sur les biens de surplus de la Couronne",9342000,1510000,3459000,10114000,2958000,5393000
"RCMP","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",0,111000,476000,0,36000,137000
"RPSDP",110,1,"Operating/Program","Fonctionnement/Programme",1744000,346000,725000,1726000,495000,978000
"RPSDP","S",999,"Budgetary statutory authorities","Autorisations législatives budgétaires",188000,47000,141000,190000,32000,127000
"RSCT",35,1,"Operating/Program","Fonctionnement/Programme",2788098,490562,1330387,2644830,437789,1240872
"RSCT","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",203756,206,618,202226,50557,151670
"SC",105,1,"Operating/Program","Fonctionnement/Programme",432557000,86348000,303470000,439016000,106603000,325150000
"SC","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",62167000,15542000,46626000,69158000,17290000,51870000
"SCC",50,1,"Operating/Program","Fonctionnement/Programme",23576422,5410075,15919476,23000955,5356338,15730019
"SCC","S",999,"Budgetary statutory authorities","Autorisations législatives budgétaires",8753475,2147134,5737028,8095845,2069751,5550003
"SHARE",15,1,"Operating/Program","Fonctionnement/Programme",1212383000,309501000,893332000,1376597000,283531000,685694000
"SHARE",20,2,"Capital","Capital",184951000,19713000,47100000,87891000,11320000,15141000
"SHARE","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",100053000,24988000,74965000,101520000,25375000,76140000
"SIRC",25,1,"Operating/Program","Fonctionnement/Programme",2694000,674000,1691000,2740000,754000,1697000
"SIRC","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",320000,80000,240000,293000,73000,220000
"SSHRC",90,1,"Operating/Program","Fonctionnement/Programme",23898000,5248000,15276000,25552000,6193000,17325000
"SSHRC",95,3,"Grants & Contributions","Subventions et Contributions",667396000,188088000,506709000,664339000,188152000,501222000
"SSHRC","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",2630000,653000,1958000,2696000,700000,2100000
"SWC",25,1,"Operating/Program","Fonctionnement/Programme",11404000,3162000,7775000,10037000,2388000,6395000
"SWC",30,3,"Grants & Contributions","Subventions et Contributions",19033000,3581000,8580000,18950000,2046000,9176000
"SWC","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",1245000,318000,934000,1226000,306000,913000
"TBC",1,1,"Operating/Program","Fonctionnement/Programme",228709442,57189877,161169308,252419064,52801516,154591815
"TBC",20,6,"Treasury Board Central","Crédit du Conseil du Trésor",2268179661,459553377,1543148723,2277219568,523626721,1457120013
"TBC","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",28309137,7000373,21001118,30481520,7620380,22861140
"TBC","S",999,"Payments for the pay equity settlement pursuant to section 30 of the Crown Liability and Proceedings Act","Versements liés à l'exécution de l'entente sur la parité salariale en vertu de l'article 30 de la Loi sur la responsabilité civile et le contentieux administratif",,26072,80099,,16744,21605
"TBC","S",999,"Payments under the Public Service Pension Adjustment Act","Versements en vertu de la Loi sur la mise au point des pensions du service public",20000,2,3,20000,310,943
"TBC","S",999,"President of the Treasury Board - Salary and motor car allowance","Président du Conseil du Trésor - Traitement et allocation pour automobile",79102,19675,59025,77516,19379,58137
"TBC","S",999,"Unallocated employer contributions made under the PSSA and other retirement acts and the Employment Act (EI)","Contributions de l'employeur non affectées et versées en vertu de la LPFP, d'autres lois concernant la retraite et la Loi sur l'assurance-emploi",443000000,-130057669,-286350575,,-135118300,-357183484
"TC",1,1,"Operating/Program","Fonctionnement/Programme",576340000,125149000,352805000,600134000,125062000,355484000
"TC",5,2,"Capital","Capital",232461000,16042000,27679000,110801000,12965000,29373000
"TC",10,3,"Grants & Contributions","Subventions et Contributions",555591000,165054000,200177000,1189132000,156332000,262983000
"TC","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",73215000,18142000,54427000,73816000,18454000,55362000
"TC","S",999,"Minister of State – Motor car allowance","Ministre d’État – Allocation pour automobile",2000,0,0,2000,1000,2000
"TC","S",999,"Minister of Transport – Salary and motor car allowance","Ministre des Transports – Traitement et allocation pour automobile",79000,39000,92000,78000,19000,58000
"TC","S",999,"Northumberland Strait Crossing Subsidy Payment","Paiement de subvention pour l’ouvrage de franchissement du détroit de Northumberland",61582000,0,60830000,60530000,0,60529000
"TC","S",999,"Payments in respect of St. Lawrence Seaway Agreements","Paiements versés conformément aux ententes de la Voie maritime du Saint Laurent",95700000,80505000,112586000,83371000,43668000,68804000
"TC","S",999,"Payments to the Canadian National Railway Company – Victoria Bridge, Montreal","Versements à la Compagnie des chemins de fer nationaux du Canada – le pont Victoria, Montréal",3300000,0,611000,3300000,0,582000
"VAC",1,1,"Operating/Program","Fonctionnement/Programme",890734000,211495000,602870000,903977000,212947000,615824000
"VAC",5,3,"Grants & Contributions","Subventions et Contributions",2738141000,683015000,2009062000,2660687000,638772000,1908086000
"VAC","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",39395000,9849000,29547000,40387000,10097000,30290000
"VAC","S",999,"Court Awards","Montants adjugés par une cour",0,0,9000,0,10000,5000
"VAC","S",999,"Minister's Salary and Motor Car Allowan","Traitement et allocation pour automobile du ministre",79000,20000,59000,77000,19000,58000
"VAC","S",999,"Re-establishment credits under Section 8 of the War Services Grants Act","Crédits de réadaptation en vertu de l’article 8 de la Loi sur les indemnités de service de guerre",2000,0,0,2000,0,0
"VAC","S",999,"Refunds of Previous Years Revenue","Remboursement de montants portés aux recettes d’exercices antérieurs",0,1000,118000,0,0,56000
"VAC","S",999,"Repayments under Section 15 of the War Services Grants Act","Remboursements en vertu de l'article 15 de la Loi sur les indemnités de service de guerre",10000,0,0,10000,0,0
"VAC","S",999,"Returned Soldiers Insurance Actuarial Liability Adjustment","Redressement de la provision actuarielle de l’assurance des soldats de retour au pays",10000,0,0,10000,0,10000
"VAC","S",999,"Statutory Authority - Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets","Autorisation législative – Dépenses des produits de l’aliénation des biens meubles en surplus de la Couronne",0,0,0,0,9000,9000
"VAC","S",999,"Veterans Insurance Actuarial Liability Adjustment","Redressement de la provision actuarielle de l’assurance des anciens combattants",175000,0,0,175000,0,0
"VRAB",10,1,"Operating/Program","Fonctionnement/Programme",10437000,2684000,7496000,10569000,2811000,7402000
"VRAB","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",1562000,391000,1171000,1569000,392000,1176000
"WDO",1,1,"Operating/Program","Fonctionnement/Programme",42626000,9687000,28206000,45766000,9399000,28727000
"WDO",5,3,"Grants & Contributions","Subventions et Contributions",147134000,22315000,51298000,142148000,18698000,45389000
"WDO","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",4889000,1223000,3667000,5086000,1271000,3814000
"WDO","S",999,"Minister's Salary and Motor Car Allowan","Traitement et allocation pour automobile du ministre",2000,1000,2000,2000,1000,2000
"WDO","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des sommes issues de la vente des biens excédentaires de l'État",1000,0,0,15000,4000,15000
"WDO","S",999,"Transfer payments in connection with the Budget Implementation Act, 2010 – Rick Hansen Foundation","Paiement de transfert lié à la Loi d'exécution du budget, 2010 – Fondation Rick Hansen",0,0,0,4500000,0,2017000
