"Deptcode","Department Name English - Public Accounts","Department Name Fench - Public Accounts","Applied Title (English)","Applied Title (French)","Legal Title (English)","Legal Title (French)","Ministerial Portfolio (English)","Ministerial Portfolio (French)","Appropriate Minister 1 - Name (English)","Appropriate Minister 1 - Title (English)","Appropriate Minister 2 - Name (English)","Appropriate Minister 2 - Title (English)","Appropriate Minister 3 - Name (English)","Appropriate Minister 3 - Title (English)","Appropriate Minister 1 - Name (French)","Appropriate Minister 1 - Title (French)","Appropriate Minister 2 - Name (French)","Appropriate Minister 2 - Title (French)","Appropriate Minister 3 - Name (French)","Appropriate Minister 3 - Title (French)","Institutional Head (English)","Institutional Head (French)","Mandate (English) [HTML]","Mandate (French) [HTML]","Institutional Form (English)","Institutional Form (French)","Enabling Instrument (English) [HTML]","Enabling Instrument (French) [HTML]","Website (English)","Website (French)"
"CFDC","Telefilm Canada","Téléfilm Canada","Telefilm Canada","NULL","Telefilm Canada","Téléfilm Canada","Canadian Heritage","Patrimoine canadien","Moore, James (Hon.)","Minister of Canadian Heritage and Official Languages","NULL","NULL","NULL","NULL","Moore, James (L'hon.)","ministre du Patrimoine canadien et des Langues officielles","NULL","NULL","NULL","NULL","Carolle Brabant, Executive Director","Carolle Brabant, directrice générale","<p>To foster and promote the development of the audiovisual industry in Canada.</p>","<p>Favoriser et encourager le d&#233;veloppement de l&#8217;industrie audiovisuelle au Canada.</p>","Crown Corporation","Société d'État","<p><em>Telefilm Canada Act, </em>R.S.C., 1985, c. C-16</p>","<p><em>Loi sur T&#233;l&#233;film Canada</em>, L.R.C. 1985, ch. C-16</p>","www.telefilm.ca","www.telefilm.ca"
"CFIA","Canadian Food Inspection Agency","Agence canadienne d'inspection des aliments","Canadian Food Inspection Agency","Agence canadienne d'inspection des aliments","Canadian Food Inspection Agency","Agence canadienne d'inspection des aliments","Health","Santé","Aglukkaq, Leona (Hon.)","Minister of Health","NULL","NULL","NULL","NULL","Aglukkaq, Leona (L'hon.)","ministre de la Santé","NULL","NULL","NULL","NULL","George Da Pont, Deputy Minister","George Da Pont, sous-ministre","<p>The Canadian Food Inspection Agency (CFIA) is Canada&#8217;s largest science-based regulatory agency. It has over 7,100 employees working across Canada in the National Capital Region (NCR) and in four operational areas (Atlantic, Quebec, Ontario and Western).</p> <p>The CFIA is dedicated to safeguarding food, animal, and plant health, which enhances the health and well-being of Canada&#8217;s people, environment, and economy.</p> <p>The CFIA develops and delivers inspection and other services in order to:</p> <ul> <li>prevent and manage food safety risks;</li> <li>protect plant resources from pests, diseases and invasive species;</li> <li>prevent and manage animal and zoonotic diseases;</li> <li>contribute to consumer protection; and</li> <li>contribute to market access for Canada&#8217;s food, plants, and animals.</li> </ul> <p>The CFIA bases its activities on science, effective risk management, commitment to service and efficiency, and collaboration with domestic and international organizations that share its objectives.</p>","<p>L&#8217;Agence canadienne d&#8217;inspection des aliments (ACIA) est le plus grand organisme canadien de r&#233;glementation &#224; vocation scientifique. Elle compte plus de 7&#160;100 employ&#233;s travaillant partout au Canada, dans la r&#233;gion de la capitale nationale (RCN) et dans quatre r&#233;gions op&#233;rationnelles (la r&#233;gion de l&#8217;Atlantique, le Qu&#233;bec, l&#8217;Ontario et l&#8217;Ouest).</p> <p>L&#8217;ACIA s&#8217;est engag&#233;e &#224; veiller &#224; la sant&#233; et au bien-&#234;tre des Canadiens, &#224; l&#8217;environnement et &#224; l&#8217;&#233;conomie en pr&#233;servant la salubrit&#233; des aliments, en assurant la sant&#233; des animaux et en prot&#233;geant les ressources v&#233;g&#233;tales.</p> <p>L&#8217;ACIA &#233;labore et offre des services d&#8217;inspection et d&#8217;autres services pour :</p> <ul> <li>pr&#233;venir et g&#233;rer les risques li&#233;s &#224; la salubrit&#233; des aliments;</li> <li>prot&#233;ger les ressources v&#233;g&#233;tales contre les ravageurs, les maladies et les esp&#232;ces envahissantes;</li> <li>pr&#233;venir et g&#233;rer les maladies animales et les zoonoses;</li> <li>contribuer &#224; la protection des consommateurs;</li> <li>faciliter l&#8217;acc&#232;s aux march&#233;s des aliments, ressources v&#233;g&#233;tales et animaux du Canada.</li> </ul> <p>Les activit&#233;s de l&#8217;ACIA sont fond&#233;es sur des principes scientifiques, sur une gestion efficace des risques, sur son engagement en mati&#232;re de service et d&#8217;efficacit&#233; ainsi que sur la collaboration avec des organismes canadiens et internationaux qui partagent son mandat.</p>","Service Agency","Organisme de service","<p><em>Canadian Food Inspection Agency Act</em>, S.C. 1997, c. 6</p>","<p><em>Loi sur l&#8217;Agence canadienne d&#8217;inspection des aliments</em>, L.C. 1997, ch. 6</p>","www.inspection.gc.ca","www.inspection.gc.ca"
"CGC","Canadian Grain Commission","Commission canadienne des grains","Canadian Grain Commission","NULL","Canadian Grain Commission","Commission canadienne des grains","Agriculture and Agri-Food","Agriculture et Agroalimentaire","Ritz, Gerry (Hon.)","Minister of Agriculture and Agri-Food","Ritz, Gerry (Hon.)","Minister for the Canadian Wheat Board","NULL","NULL","Ritz, Gerry (L'hon.)","ministre de l'Agriculture et de l'Agroalimentaire","Ritz, Gerry (L'hon.)","ministre de la Commission canadienne du blé","NULL","NULL","Elwin Hermanson, Chief Commissioner","Elwin Hermanson, commissaire en chef","<p>To work in the interests of grain producers to establish and maintain standards of quality for Canadian grain, to regulate grain handling in Canada, and to ensure that grain is a dependable commodity for domestic and export markets.</p>","<p>Travailler dans l&#8217;int&#233;r&#234;t des producteurs de grains &#224; l&#8217;&#233;tablissement et au maintien des normes de qualit&#233; du grain canadien, &#224; la r&#233;glementation de la manutention des grains au Canada et &#224; l&#8217;assurance du grain comme produit fiable &#224; livrer sur les march&#233;s int&#233;rieurs et &#233;trangers</p>","Statutory and Other Agency","Organisme créé par une loi ou autre organisme","<p><em>Canada Grain Act</em>, R.S.C. 1985, c. G-10</p>","<p><em>Loi sur les grains du Canada</em>, L.R.C. 1985, ch. G-10</p>","www.grainscanada.gc.ca","www.grainscanada.gc.ca"
"CH","Canadian Heritage","Patrimoine canadien","Canadian Heritage","Patrimoine canadien","Department of Canadian Heritage","Ministère du Patrimoine canadien","Canadian Heritage","Patrimoine canadien","Moore, James (Hon.)","Minister of Canadian Heritage and Official Languages","NULL","NULL","NULL","NULL","Moore, James (L'hon.)","ministre du Patrimoine canadien et des Langues officielles","NULL","NULL","NULL","NULL","Daniel Jean, Deputy Minister","Daniel Jean, sous-ministre"," <p>The Department of Canadian Heritage (the Department) and Canada&#8217;s major national cultural institutions play a vital role in the cultural, civic and economic life of Canadians. We work together to support culture, arts, heritage, official languages, citizenship and participation, in addition to Aboriginal, youth and sport initiatives.</p> <p>The Department of Canadian Heritage is responsible for programs and policies that help all Canadians participate in their shared cultural and civic life. The Department&#8217;s legislative mandate is set out in the</p>  <p><a href=""http://www.pch.gc.ca/pgm/sc/legsltn/c-17-3-eng.cfm""><em><span style=""text-decoration: underline;"">Department of Canadian Heritage Act</span></em></a> and other statutes for which the Minister of Canadian Heritage and Official Languages is responsible and presents a wide-ranging list of responsibilities for the Minister under the heading of &#8220;Canadian identity and values, cultural development, and heritage.&#8221;</p>","<p>Le minist&#232;re du Patrimoine canadien (le Minist&#232;re) et les principales institutions culturelles canadiennes jouent un r&#244;le crucial dans la vie culturelle, communautaire et &#233;conomique des Canadiens.</p> <p>Nous travaillons ensemble &#224; promouvoir la culture, les arts, le patrimoine, les langues officielles, la citoyennet&#233; et la participation, ainsi que les initiatives li&#233;es aux Autochtones, &#224; la jeunesse et aux sports.</p> <p>Le minist&#232;re du Patrimoine canadien est responsable des programmes et des politiques qui aident tous les Canadiens &#224; participer &#224; la vie culturelle et civique de leur collectivit&#233;. Le mandat l&#233;gislatif du Minist&#232;re, &#233;nonc&#233; dans la Loi sur le minist&#232;re du Patrimoine canadien et dans d&#8217;autres lois dont le ministre du Patrimoine canadien et des Langues officielles est responsable, propose une liste des nombreuses responsabilit&#233;s du ministre sous la rubrique des pouvoirs et fonctions &#171; li&#233;s &#224; l'identit&#233;, aux valeurs, au d&#233;veloppement culturel et au patrimoine canadiens &#187;.</p>","Department","Ministère","<p><em>Department of Canadian Heritage Act</em>, S.C. 1995, c. 11</p>","<p><em>Loi sur le minist&#232;re du Patrimoine canadien</em>, L.C. 1995, ch. 11</p>","www.pch.gc.ca","www.pch.gc.ca"
"CHRC","Canadian Human Rights Commission","Commission canadienne des droits de la personne","Canadian Human Rights Commission","NULL","Canadian Human Rights Commission","Commission canadienne des droits de la personne","Justice","Justice","Nicholson, Rob (Hon.)","Minister of Justice","Nicholson, Rob (Hon.)","Attorney General of Canada","NULL","NULL","Nicholson, Rob (L'hon.)","ministre de la Justice","Nicholson, Rob (L'hon.)","procureur général du Canada","NULL","NULL","David Langtry, Acting Chief Commissioner","David Langtry, commissaire en chef par intérim","<p>To work with employers, service providers, individuals, unions, governmental and non-governmental organizations, and provincial and territorial human rights bodies to foster understanding and commitment to achieving a society where human rights are respected in everyday practices.</p>","<p>Travailler avec les employeurs, les fournisseurs de services, les particuliers, les syndicats, les organismes gouvernementaux et non gouvernementaux et les organismes provinciaux et territoriaux des droits de la personne afin de favoriser la compr&#233;hension et l&#8217;engagement n&#233;cessaires &#224; la cr&#233;ation d&#8217;une soci&#233;t&#233; o&#249; les droits de la personne sont respect&#233;s dans les pratiques quotidiennes</p>","Statutory and Other Agency","Organisme créé par une loi ou autre organisme","<p><em>Canadian Human Rights Act</em>, R.S.C. 1985, c. H-6</p>","<p><em>Loi canadienne sur les droits de la personne</em>, L.R.C. 1985, ch. H-6</p>","www.chrc-ccdp.gc.ca","www.ccdp-chrc.gc.ca"
"CHRT","Canadian Human Rights Tribunal","Tribunal canadien des droits de la personne","Human Rights Tribunal of Canada","Tribunal des droits de la personne du Canada","Canadian Human Rights Tribunal","Tribunal canadien des droits de la personne","Justice","Justice","Nicholson, Rob (Hon.)","Minister of Justice","Nicholson, Rob (Hon.)","Attorney General of Canada","NULL","NULL","Nicholson, Rob (L'hon.)","ministre de la Justice","Nicholson, Rob (L'hon.)","procureur général du Canada","NULL","NULL","Susheel Gupta, A/Chairperson and Chief Executive Officer","Susheel Gupta, Président et administrateur général","<p>To provide Canadians with an improved quality of life and an assurance of equal access to the opportunities that exist in Canadian society through the fair-minded and equitable interpretation and enforcement of the <em>Canadian Human Rights Act</em> and the <em>Employment Equity Act</em>.</p>","<p>Assurer aux Canadiens une meilleure qualit&#233; de vie et l&#8217;assurance d&#8217;un acc&#232;s &#233;quitable aux possibilit&#233;s qui existent dans la soci&#233;t&#233; canadienne, gr&#226;ce &#224; l&#8217;interpr&#233;tation et &#224; l&#8217;ex&#233;cution &#233;quitables et justes de la <em>Loi canadienne sur les droits de la personne</em> et de la<em> Loi sur l&#8217;&#233;quit&#233; en mati&#232;re d&#8217;emploi</em></p>","Statutory and Other Agency","Organisme créé par une loi ou autre organisme","<p><em>Canadian Human Rights Act</em>, R.S.C. 1985, c. H-6</p>","<p><em>Loi canadienne sur les droits de la personne</em>, L.R.C. 1985, ch. H-6</p>","www.chrt-tcdp.gc.ca","www.chrt-tcdp.gc.ca"
"CICS","Canadian Intergovernmental Conference Secretariat","Secrétariat des conférences intergouvernementales canadiennes","Canadian Intergovernmental Conference Secretariat","NULL","Canadian Intergovernmental Conference Secretariat","Secrétariat des conférences intergouvernementales canadiennes","Privy Council","Conseil privé","Lebel, Denis (Hon.)","Minister of Infrastructure, Communities and Intergovernmental Affairs","Lebel, Denis (Hon.)","President of the Queen's Privy Council for Canada","NULL","NULL","Lebel, Denis (L'hon.)","ministre de l'Infrastructure, des Collectivités et des Affaires intergouvernementales","Lebel, Denis (L'hon.)","président du Conseil privé de la Reine pour le Canada","NULL","NULL","André M. McArdle, Secretary","André M. McArdle, secrétaire","<p>To relieve its clients of the numerous and various technical and administrative tasks associated with the planning and conduct of senior-level intergovernmental conferences.</p>","<p>Lib&#233;rer les clients du Secr&#233;tariat de la multitude de t&#226;ches vari&#233;es, &#224; caract&#232;re technique et administratif, associ&#233;es &#224; la planification et &#224; la tenue de conf&#233;rences intergouvernementales de niveau sup&#233;rieur.</p>","Statutory and Other Agency","Organisme créé par une loi ou autre organisme","<p><em>Financial Administration Act</em>, R.S.C. 1985, c. F-11 <br /> Order-in-Council P.C. 1973-1698, Order-in-Council P.C. 2006-0087</p>","<p><em>Loi sur la gestion des finances publiques</em>, L.R.C. 1985, ch. F-11 d&#233;cret en conseil C.P. 1973-1698, d&#233;cret en conseil C.P. 2006-0087</p>","www.scics.gc.ca","www.scics.gc.ca"
"CIRB","Canada Industrial Relations Board","Conseil canadien des relations industrielles","Canada Industrial Relations Board","Conseil canadien des relations industrielles","Canada Industrial Relations Board","Conseil canadien des relations industrielles","Employment and Social Development","Emploi et Développement social","Raitt, Lisa (Hon.)","Minister of Labour","NULL","NULL","NULL","NULL","Raitt, Lisa (L'hon.)","ministre du Travail","NULL","NULL","NULL","NULL","Elizabeth MacPherson, Chairperson","Elizabeth MacPherson, présidente","<p>The CIRB's&#160;mandate&#160;is to contribute to and promote a harmonious industrial relations climate in the federally regulated sector through the impartial, effective and appropriate administration of the rules of conduct that govern labour and management in their representational and bargaining activities.</p>","<p>Le CCRI a pour mandat de favoriser l&#8217;&#233;tablissement et le maintien de relations du travail harmonieuses dans les secteurs d'activit&#233; relevant de la comp&#233;tence f&#233;d&#233;rale par l'administration impartiale, appropri&#233;e et efficace des r&#232;gles de conduite qui r&#233;gissent les syndicats et les employeurs dans le cadre de leurs activit&#233;s de repr&#233;sentation et de n&#233;gociation.</p>","Administrative Tribunal","Tribunal administratif","<p><em>Canada Labour Code</em>, R.S.C. 1985, c. L-2</p>","<p><em>Code canadien du travail</em>, L.R.C. 1985, ch. L-2</p>","www.cirb-ccri.gc.ca/eic/site/047.nsf/eng/home","www.cirb-ccri.gc.ca/eic/site/047.nsf/fra/accueil"
"CITT","Canadian International Trade Tribunal","Tribunal canadien du commerce extérieur","Canadian International Trade Tribunal","NULL","Canadian International Trade Tribunal","Tribunal canadien du commerce extérieur","Finance","Finances","Flaherty, Jim (Hon.)","Minister of Finance","NULL","NULL","NULL","NULL","Flaherty, Jim (L'hon.)","ministre des Finances","NULL","NULL","NULL","NULL","Stephen A. Leach, Chairperson","Stephen A. Leach, président","<p>To inquire into whether dumped or subsidized imports have caused, or are threatening to cause, injury to a domestic industry; to inquire into complaints by potential suppliers concerning procurement by the federal government that is covered by the <em>North American Free Trade Agreement</em>, the <em>Agreement on Internal Trade</em>, the World Trade Organization <em>Agreement on Government Procurement</em>, the <em>Canada-Chile Free Trade Agreement,</em> the <em>Canada-Peru Free Trade Agreement</em> and the <em>Canada-Columbia Free Trade Agreement</em>; to hear appeals of decisions of the Canada Border Services Agency made under the <em>Customs Act</em> and <em>Special Import Measures Act</em> or of the Minister of National Revenue under the <em>Excise Tax Act</em>; to inquire into and provide advice on such economic, trade and tariff issues as are referred to the Tribunal by the Governor in Council or the Minister of Finance; to investigate requests from Canadian producers for tariff relief on imported textile inputs that they use in their production operations and to make recommendations to the Minister of Finance on these requests; and to inquire into complaints by domestic producers that increased imports are causing, or threatening to cause, injury to domestic producers and, as directed, make recommendations to the government on an appropriate remedy.</p>","<p>Enqu&#234;ter afin de d&#233;terminer si l&#8217;importation de produits qui font l&#8217;objet de dumping ou de subventionnement a caus&#233; ou menace de causer un dommage &#224; une branche de production nationale; enqu&#234;ter sur les plaintes d&#233;pos&#233;es par des fournisseurs potentiels concernant les march&#233;s publics pass&#233;s par le gouvernement f&#233;d&#233;ral vis&#233;s par l&#8217;<em>Accord de libre-&#233;change nord-am&#233;ricain</em>, l&#8217;<em>Accord sur le commerce int&#233;rieur, </em>l&#8217;<em>Accord sur les march&#233;s publics </em>de l&#8217;Organisation mondiale du commerce<em>, </em>l&#8217;<em>Accord de libre-&#233;change entre le Canada et le Chili, </em>l&#8217;<em>Accord de libre-&#233;change Canada-P&#233;rou</em> et l&#8217;<em>Accord de libre-&#233;change Canada-Colombie</em>; entendre les appels des d&#233;cisions de l&#8217;Agence des services frontaliers du Canada aux termes de la <em>Loi sur les douanes </em>et de la <em>Loi sur les mesures sp&#233;ciales d'importation</em> ou du ministre du Revenu national aux termes de la <em>Loi sur la taxe d&#8217;accise</em>; enqu&#234;ter et donner son avis sur des questions &#233;conomiques et commerciales dont le gouverneur en conseil ou le ministre des Finances saisit le Tribunal; enqu&#234;ter sur des demandes pr&#233;sent&#233;es par des producteurs canadiens qui souhaitent obtenir des all&#233;gements tarifaires sur des intrants textiles import&#233;s aux fins de production et faire des recommandations au ministre des Finances quant &#224; ces demandes; enqu&#234;ter sur les plaintes des producteurs nationaux selon lesquelles l&#8217;augmentation des importations cause ou menace de causer un dommage aux producteurs nationaux et, comme prescrit, recommander au gouvernement la mesure corrective appropri&#233;e.</p>","Statutory and Other Agency","Organisme créé par une loi ou autre organisme","<p><em>Canadian International Trade Tribunal Act</em>, R.S.C. 1985, c. 47, (4th Supp.)</p>","<p><em>Loi sur le Tribunal canadien du commerce ext&#233;rieur</em>, L.R.C. 1985, ch. 47 (4e suppl.)</p>","www.citt-tcce.gc.ca","www.citt-tcce.gc.ca"
"CMC","Canadian Museum of History","Musée canadien de l'histoire","Canadian Museum of Civilization","Musée canadien des civilisations","Canadian Museum of Civilization","Musée canadien des civilisations","Canadian Heritage","Patrimoine canadien","Moore, James (Hon.)","Minister of Canadian Heritage and Official Languages","NULL","NULL","NULL","NULL","Moore, James (L'hon.)","ministre du Patrimoine canadien et des Langues officielles","NULL","NULL","NULL","NULL","Mark ONeill, President and Chief Executive Officer","Mark ONeill, Président-directeur général","<p>To increase, throughout Canada and internationally, interest in, knowledge and critical understanding of, and appreciation and respect for human cultural achievements and human behaviour by establishing, maintaining, and developing for research and posterity a collection of objects of historical or cultural interest, with special but not exclusive reference to Canada, and by demonstrating those achievements and behaviour, the knowledge derived from them, and the understanding they represent.</p>","<p>Accro&#238;tre dans l&#8217;ensemble du Canada et &#224; l&#8217;&#233;tranger, l&#8217;int&#233;r&#234;t, le respect et la compr&#233;hension critique de m&#234;me que la connaissance et le degr&#233; d&#8217;appr&#233;ciation par tous &#224; l&#8217;&#233;gard des r&#233;alisations culturelles et des comportements de l&#8217;humanit&#233;, par la constitution, l&#8217;entretien et le d&#233;veloppement aux fins de la recherche et pour la prosp&#233;rit&#233;, d&#8217;une collection d&#8217;objets &#224; valeur historique ou culturelle principalement ax&#233;e sur le Canada, ainsi que par la pr&#233;sentation de ces r&#233;alisations et comportements, et des renseignements et de la compr&#233;hension qu&#8217;ils g&#233;n&#232;rent.</p>","Crown Corporation","Société d'État","<p><em>Museums Act, </em>S.C. 1990, c. 3, s. 7</p>","<p><em>Loi sur les mus&#233;es</em>, L.C. 1990, ch. 3. art. 7</p>","www.civilization.ca","www.civilisations.ca"
"CMHC","Canada Mortgage and Housing Corporation","Société canadienne d'hypothèques et de logement","Canada Mortgage and Housing Corporation","Société canadienne d'hypothèques et de logement","Canada Mortgage and Housing Corporation","Société canadienne d'hypothèques et de logement","Employment and Social Development","Emploi et Développement social","Finley, Diane (Hon.)","Minister of Human Resources and Skills Development","NULL","NULL","NULL","NULL","Finley, Diane (L'hon.)","ministre des Ressources humaines et du Développement des compétences","NULL","NULL","NULL","NULL","Douglas Stewart, Interim President and Chief Executive Officer","Douglas Stewart, président et premier dirigeant par intérim","<p>To promote the construction, repair, and modernization of housing; to promote the improvement of housing and living conditions, housing affordability, and choice; to promote the availability of low-cost financing for housing; to promote the national well-being of the housing sector, and in addition and with respect to activities related to mortgage loan insurance and guarantee programs and the administration of the Canadian covered bond legal framework, to promote the efficient functioning and competitiveness of the housing finance market, and to promote and contribute to the stability of the financial system, including the housing market, with due regard to the Corporation's exposure to loss.</p>","<p>Promouvoir la construction, la r&#233;paration et la modernisation des habitations, l'am&#233;lioration des conditions de vie et de logement, le caract&#232;re abordable et la diversit&#233; du choix des logements, la disponibilit&#233; de financement&#160;&#224; faible taux d'int&#233;r&#234;t&#160;pour le logement, le bien-&#234;tre national du secteur de l'habitation&#160;et de plus, en ce qui concerne les activit&#233;s relatives &#224; l'assurance pr&#234;t hypoth&#233;caire et aux programmes de cautionnement et &#224; l'administration du cadre juridique&#160;des obligations&#160;s&#233;curis&#233;es canadiennes, encourager le fonctionnement efficace et la comp&#233;titivit&#233; du march&#233; du financement de l'habitation, encourager et contribuer &#224; la stabilit&#233; du syst&#232;me financier, notamment du march&#233; de l'habitation, en tenant d&#251;ment compte des risques de pertes que la Soci&#233;t&#233; encourt.&#160;</p>","Crown Corporation","Société d'État","<p><em>Canada Mortgage and Housing Corporation Act, </em>R.S.C. 1985, c. C-7</p>","<p><em>Loi sur la Soci&#233;t&#233; canadienne d&#8217;hypoth&#232;ques et de logement</em>, L.R.C. 1985, ch. C-7</p>","www.cmhc.ca","www.schl.ca"
"CMHR","Canadian Museum for Human Rights","Musée canadien des droits de la personne","Canadian Museum for Human Rights","Musée canadien pour les droits de la personne","Canadian Museum for Human Rights","Musée canadien des droits de la personne","Canadian Heritage","Patrimoine canadien","Moore, James (Hon.)","Minister of Canadian Heritage and Official Languages","NULL","NULL","NULL","NULL","Moore, James (L'hon.)","ministre du Patrimoine canadien et des Langues officielles","NULL","NULL","NULL","NULL","Stuart A. Murray, President and Chief Executive Officer","Stuart A. Murray, président-directeur général","<p>To explore the subject of human rights, with special but not exclusive reference to Canada, in order to enhance public understanding of human rights, to promote respect for others, and to encourage reflection and dialogue.</p>","<p>Explorer le th&#232;me des droits de la personne en mettant un accent particulier sur le Canada en vue d&#8217;accro&#238;tre la compr&#233;hension du public &#224; cet &#233;gard, de promouvoir le respect des autres et d&#8217;encourager la r&#233;flexion et le dialogue</p>","Crown Corporation","Société d'État","<p><em>Museums Act, </em>S.C. 1990, c. 3, s. 15</p>","<p><em>Loi sur les mus&#233;es</em>, L.C. 1990, ch. 3, art. 15</p>","www.humanrightsmuseum.ca","www.humanrightsmuseum.ca"
"CMI","Canadian Museum of Immigration at Pier 21","Musée canadien de l'immigration du Quai 21","Canadian Museum of Immigration at Pier 21","Musée canadien de l'immigration du Quai 21","Canadian Museum of Immigration at Pier 21","Musée canadien de l'immigration du Quai 21","Canadian Heritage","Patrimoine canadien","Moore, James (Hon.)","Minister of Canadian Heritage and Official Languages","NULL","NULL","NULL","NULL","Moore, James (L'hon.)","ministre du Patrimoine canadien et des Langues officielles","NULL","NULL","NULL","NULL","Marie Chapman, Chief Executive Officer","Marie Chapman, chef de la direction","<p>To explore the theme of immigration to Canada in order to enhance public understanding of the experiences of immigrants as they arrived in Canada, of the vital role immigration has played in the building of Canada and of the contributions of immigrants to Canada&#8217;s culture, economy and way of life.</p>","<p>Explorer le th&#232;me de l&#8217;immigration au Canada en vue d&#8217;accro&#238;tre la compr&#233;hension du public &#224; l'&#233;gard des exp&#233;riences v&#233;cues par les immigrants au moment de leur arriv&#233;e au Canada, du r&#244;le essentiel que l&#8217;immigration a jou&#233; dans le d&#233;veloppement du Canada et de la contribution des immigrants &#224; la culture, &#224; l&#8217;&#233;conomie et au mode de vie canadiens</p>","Crown Corporation","Société d'État","<p><em>Museums Act, </em>S.C. 1990, c.3, s. 15.4</p>","<p><em>Loi sur les mus&#233;es</em>, L.C. 1990, ch. 3. art. 15.4</p>","www.pier21.ca","www.quai21.ca"
"CMN","Canadian Museum of Nature","Musée canadien de la nature","Canadian Museum of Nature","Musée canadien de la nature","Canadian Museum of Nature","Musée canadien de la nature","Canadian Heritage","Patrimoine canadien","Moore, James (Hon.)","Minister of Canadian Heritage and Official Languages","NULL","NULL","NULL","NULL","Moore, James (L'hon.)","ministre du Patrimoine canadien et des Langues officielles","NULL","NULL","NULL","NULL","Margaret Beckel, President and Chief Executive Officer","Margaret Beckel, présidente-directrice générale","<p>To increase, throughout Canada and internationally, interest in, knowledge of, and appreciation and respect for the natural world by establishing, maintaining, and developing for research and posterity a collection of natural history objects, with special but not exclusive reference to Canada, and by demonstrating the natural world, the knowledge derived from it, and the understanding it represents.</p>","<p>Accro&#238;tre, dans l&#8217;ensemble du Canada et &#224; l&#8217;&#233;tranger, l&#8217;int&#233;r&#234;t et le respect &#224; l&#8217;&#233;gard de la nature, de m&#234;me que sa connaissance et son degr&#233; d&#8217;appr&#233;ciation par tous par la constitution, l&#8217;entretien et le d&#233;veloppement, aux fins de la recherche et pour la post&#233;rit&#233;, d&#8217;une collection d&#8217;objets d&#8217;histoire naturelle principalement ax&#233;e sur le Canada, ainsi que par la pr&#233;sentation de la nature, des enseignements et de la compr&#233;hension qu&#8217;elle g&#233;n&#232;re.</p>","Crown Corporation","Société d'État","<p><em>Museums Act, </em>S.C. 1990, c. 3, s. 10</p>","<p><em>Loi sur les mus&#233;es</em>, L.C. 1990, ch. 3, art. 10</p>","www.nature.ca","www.nature.ca"
"CNEDA","Canadian Northern Economic Development Agency","Agence canadienne de développement économique du Nord","Canadian Northern Economic Development Agency","Agence canadienne de développement économique du Nord","Canadian Northern Economic Development Agency","Agence canadienne de développement économique du Nord","Health","Santé","Aglukkaq, Leona (Hon.)","Minister of the Canadian Northern Economic Development Agency","Aglukkaq, Leona (Hon.)","Minister of the Canadian Northern Economic Development Agency","NULL","NULL","Aglukkaq, Leona (L'hon.)","ministre de l'Agence canadienne de développement économique du Nord","Aglukkaq, Leona (L'hon.)","ministre de l'Agence canadienne de développement économique du Nord","NULL","NULL","Patrick Borbey, President","Patrick Borbey, président","<p>To advance economic development in Canada's northern territories and serve as the federal hub for these efforts. The Agency does this through delivery of a suite of economic development programs; by developing policy and conducting research; and by aligning the efforts of partners and stakeholders, particularly among federal organizations. As well, the Agency coordinates and serves as the regional delivery agent for certain national economic initiatives.</p> <p>The Northern Projects Management Office is part of CanNor. It provides path-finding services for industry and is a centralized source of information and guidance on northern regulatory systems and processes. NPMO supports a more stable and attractive investment climate in the territories by improving the transparency, timeliness and predictability of northern project regulation.</p>","<p>Dirige les efforts visant &#224; stimuler le d&#233;veloppement &#233;conomique dans les territoires du Nord du Canada. Elle s'acquitte de son mandat par la prestation d'un ensemble de programmes de d&#233;veloppement &#233;conomique, l'&#233;laboration de politiques et la recherche, ainsi que l'harmonisation des efforts d&#233;ploy&#233;s par les partenaires et les intervenants, en particulier les organisations f&#233;d&#233;rales. De plus, l'Agence coordonne et ex&#233;cute, &#224; l'&#233;chelle r&#233;gionale, diverses initiatives &#233;conomiques nationales.</p> <p>Le Bureau de gestion des projets nordiques (BGPN), qui rel&#232;ve de CanNor, fournit des services d'orientation &#224; l'industrie et constitue une source centralis&#233;e de renseignements et de conseils sur les r&#233;gimes et les processus de r&#233;glementation dans le Nord. Le BGPN contribue &#224; instaurer un climat d'investissement plus stable et int&#233;ressant dans les territoires en am&#233;liorant la transparence, la rapidit&#233; et la pr&#233;visibilit&#233; de la r&#233;glementation des projets dans le Nord.</p>","Statutory and Other Agency","Organisme créé par une loi ou autre organisme","<p><em>Public Service Rearrangement and Transfer of Duties Act</em>, R.S.C. 1985, c. P-34</p>","<p><em>Loi sur les restructurations et les transferts d&#8217;attributions dans l&#8217;administration publique</em>, L.R.C. 1985, c. P-34</p>","www.CanNor.gc.ca","www.CanNor.gc.ca"
