"Organizations","Program Activity"," Activités de Programme","Expenditures for fiscal year 2010-11","Expenditures for fiscal year 2011-12","Expenditures for fiscal year 2010-11","Expenditures for fiscal year 2011-12","Expenditures for fiscal year 2012-13"
"OEC","Internal Services","Services internes","2,262,994","2,477,539","2,262,994","2,477,539","2,149,438"
"SWC","Women's participation in Canadian society","Participation des femmes à la société canadienne","22,720,250","21,560,223","22,720,250","21,560,223","22,465,800"
"SWC","Strategic Policy Analysis, Planning and Development","Élaboration, planification et analyse des politiques stratégiques","1,961,238","1,998,592","1,961,238","1,998,592","2,141,397"
"SWC","Internal Services","Services internes","5,560,258","5,876,011","5,560,258","5,876,011","5,120,989"
"OCI","Ombudsman for federal offenders","Ombudsman pour les délinquants","3,240,837","3,715,963","3,240,837","3,715,963","3,514,836"
"OCI","Internal Services","Services internes","837,742","1,220,705","837,742","1,220,705","1,061,550"
"ODPP","Regulatory offences and economic crime prosecution program","Programme de poursuites des infractions aux règlements et des crimes économiques","13,157,166","13,986,904","13,157,166","13,986,904","14,443,793"
"ODPP","Drug, Criminal Code, and terrorism prosecution program","Programme de poursuites des infractions en matière de drogues, au titre du Code criminel et en matière de terrorisme","111,856,195","117,158,894","111,856,195","117,158,894","122,714,750"
"ODPP","Internal Services","Services internes","21,322,446","25,297,853","21,322,446","25,297,853","26,208,280"
"OPSIC","Disclosure and Reprisal Management Program","Programme de gestion des divulgations et des représailles","3,317,796","3,499,031","3,317,796","3,499,031","3,627,994"
"OPSIC","Internal Services","Services internes","2,005,902","2,166,832","2,005,902","2,166,832","1,915,002"
"OSFI","International Assistance","Aide internationale","-131,839",0,"-131,839",0,0
"OSFI","Actuarial Valuation and Advisory Services","Évaluations actuarielles et services conseils","-40,027","-2,629,002","-40,027","-2,629,002","-1,383,716"
"OSFI","Regulation and Supervision of Federally Regulated Financial Institutions","Réglementation et surveillance des institutions financières fédérales","11,040,835","-7,420,715","11,040,835","-7,420,715","1,417,325"
"OSFI","Regulation and Supervision of Federally Regulated Private Pension Plans","Réglementation et surveillance des régimes de retraite privés fédéraux","-3,210,232","-2,532,720","-3,210,232","-2,532,720","-1,811,101"
"OSFI","Internal Services","Services internes","8,088,866","-22,375","8,088,866","-22,375","1,464,756"
"IPC","Compliance Activities","Activités relatives à la conformité","9,568,356","11,572,471","9,568,356","11,572,471","11,800,606"
"IPC","Compliance with access to information obligations","Conformité avec les obligations prévues à la Loi sur l'accès à l'information","8,724,583","8,756,961","8,724,583","8,756,961","9,179,989"
"IPC","Public Outreach","Sensibilisation du grand public","3,297,896","2,985,363","3,297,896","2,985,363","3,500,946"
"IPC","Research and Policy Development","Recherche et élaboration des politiques","3,218,195","3,930,541","3,218,195","3,930,541","4,028,548"
"IPC","Internal services Office of the Privacy Commissioner","Services internes","6,740,092","7,654,492","6,740,092","7,654,492","6,208,756"
"IPC","Internal services Office of the information commissioner","Services internes","3,888,617","3,890,869","3,888,617","3,890,869","3,112,691"
"CLVM","Old Port of Montreal Corporation Inc.","Société du Vieux-Port de Montréal inc.","28,986,795","30,373,000","28,986,795","30,373,000","24,472,000"
"PCA","Heritage Resources Conservation","Conservation des ressources patrimoniales","215,946,599","158,761,481","215,946,599","158,761,481","146,398,626"
"PCA","Heritage Places Establishment","Création de lieux patrimoniaux","21,685,557","14,167,678","21,685,557","14,167,678","14,874,251"
"PCA","Public Appreciation and Understanding","Appréciation et compréhension du public","50,823,245","52,880,244","50,823,245","52,880,244","52,372,807"
"PCA","Visitor Experience","Expérience du visiteur","347,802,564","262,896,567","347,802,564","262,896,567","239,572,389"
"PCA","Townsite and Throughway Infrastructure","Infrastructure des lotissements urbains et routes de transit","162,421,675","104,365,104","162,421,675","104,365,104","91,782,776"
"PCA","Internal Services","Services internes","87,036,010","84,940,832","87,036,010","84,940,832","85,546,742"
"PMPRB","Pharmaceutical Trends Program","Le programme sur les tendances relatives aux produits pharmaceutiques","890,377","1,010,528","890,377","1,010,528","983,279"
"PMPRB","Patented medicine prices regulation program","Le programme de réglementation du prix des médicaments brevetés","4,232,009","7,346,773","4,232,009","7,346,773","3,888,795"
"PMPRB","Internal Services","Services internes","4,348,321","3,397,074","4,348,321","3,397,074","3,184,729"
"PPP","Ppp Canada Inc.","PPP Canada Inc.","253,500,000","287,700,000","253,500,000","287,700,000","287,450,000"
"PCO","Prime Minister and portfolio ministers support and advice","Soutien et conseils au Premier ministre et aux ministres du portefeuille","69,597,828","70,756,910","69,597,828","70,756,910","68,183,596"
"PCO","Public service leadership and direction","Leadership et orientation au sein de la fonction publique","3,968,160","4,579,031","3,968,160","4,579,031","2,673,659"
"PCO","Commissions of inquiry","Commissions d'enquête","13,242,046","11,218,897","13,242,046","11,218,897","2,558,379"
"PCO","Cabinet and Cabinet committees advice and support","Soutien et conseils au Cabinet et aux comités du Cabinet","17,386,432","18,900,020","17,386,432","18,900,020","14,917,947"
"PCO","Internal Services","Services internes","55,736,210","49,974,956","55,736,210","49,974,956","41,898,860"
"PACS","Oversight of the Governor-in-Council appointments","Surveillance des nominations faites par le gouverneur en conseil","243,887","119,620","243,887","119,620",0
"PACS","Internal Services","Services internes","50,247","15,460","50,247","15,460",0
"PHAC","Science and Technology for Public Health","Sciences et technologie pour la santé publique","81,588,264","78,603,948","81,588,264","78,603,948","68,904,693"
"PHAC","Health Promotion","Promotion de la santé","177,434,123","182,593,403","177,434,123","182,593,403","170,303,645"
"PHAC","Regulatory Enforcement and Emergency Response","Exécution de la réglementation et interventions en cas d'urgence","23,229,890","21,669,837","23,229,890","21,669,837","33,667,364"
"PHAC","Surveillance and Population Health Assessment","Surveillance et évaluation de la santé de la population","76,024,471","76,515,100","76,024,471","76,515,100","69,933,545"
"PHAC","Public Health Preparedness and Capacity","État de préparation et capacité en santé publique","60,726,561","66,677,028","60,726,561","66,677,028","78,117,836"
"PHAC","Disease and Injury Prevention and Mitigation","Prévention et réduction des maladies et des blessures","86,282,096","91,322,167","86,282,096","91,322,167","92,245,397"
"PHAC","Internal Services","Services internes","112,834,688","119,118,054","112,834,688","119,118,054","106,483,749"
"PSEP","Policing and Law Enforcement","Application de la loi","252,557,084",0,"252,557,084",0,0
"PSEP","National Security","Sécurité nationale","8,127,830","17,695,636","8,127,830","17,695,636","29,085,820"
"PSEP","Emergency Management","Gestion des mesures d'urgence","142,245,890","143,352,872","142,245,890","143,352,872","325,816,430"
"PSEP","Corrections","Régime correctionnel","8,568,666",0,"8,568,666",0,0
"PSEP","Crime Prevention","Prévention du crime","51,367,228",0,"51,367,228",0,0
"PSEP","Border Strategies","Stratégies frontalières","1,999,257","3,002,105","1,999,257","3,002,105","4,230,514"
"PSEP","Interoperabilit","Interopérabilité","942,827",0,"942,827",0,0
"PSEP","Internal Services","Services internes","66,788,375","67,395,070","66,788,375","67,395,070","64,144,320"
"PSEP","Countering Crime","Lutte au crime",0,"170,119,113",0,"170,119,113","160,996,694"
"PSC","Appointment Integrity and Political Impartiality","Intégrité des nominations et impartialité politique","11,567,143","14,647,191","11,567,143","14,647,191","16,019,847"
"PSC","Staffing Services and Assessment","Services de dotation et d'évaluation","29,182,538","32,010,281","29,182,538","32,010,281","27,590,904"
"PSC","Oversight of Integrity in Staffing","Surveillance de l’intégrité de la dotation","22,245,608","21,547,291","22,245,608","21,547,291","20,000,247"
"PSC","Internal Services","Services internes","37,979,809","37,401,120","37,979,809","37,401,120","32,119,068"
"PSSRB","Adjudication, mediation and compensation analysis and research","Arbitrage, médiation et analyse et recherche en matière de rémunération","8,313,169","9,368,528","8,313,169","9,368,528","9,736,106"
"PSSRB","Internal Services","Services internes","3,575,607","4,078,172","3,575,607","4,078,172","3,898,234"
"PSST","Adjudication and mediation of complaints filed under the Public Service Employment Act","Arbitrage et médiation des plaintes déposées en vertu de la Loi sur l'emploi dans la fonction publique","3,477,183","3,644,333","3,477,183","3,644,333","3,747,033"
"PSST","Internal Services","Services internes","1,269,655","1,291,742","1,269,655","1,291,742","1,361,774"
"GSC","Acquisitions","Approvisionnement","144,282,951","157,777,964","144,282,951","157,777,964","158,849,677"
"GSC","Information Technology Infrastructure Service","Services d'infrastructure et de technologie de l'information","33,653,104","7,744,155","33,653,104","7,744,155",0
"GSC","Federal Pay and Pension Administration","Administration de la paye et des pensions fédérales","46,940,630","67,681,526","46,940,630","67,681,526","80,559,725"
"GSC","Accommodation and Real Property Assets Management","Gestion des locaux et des biens immobiliers","2,216,628,145","1,963,599,900","2,216,628,145","1,963,599,900","2,011,582,718"
"GSC","Receiver General for Canada","Receveur général du Canada","119,876,466","123,141,196","119,876,466","123,141,196","117,792,671"
"GSC","Linguistic Management and Services","Services linguistiques et gestion connexe","74,337,996","74,116,158","74,337,996","74,116,158","78,458,807"
"GSC","Specialized Programs and Services","Programmes et services spécialisés","104,201,802","53,833,109","104,201,802","53,833,109","49,534,679"
"GSC","Procurement Ombudsman","Ombudsman de l'approvisionnement","3,608,650","3,667,301","3,608,650","3,667,301","3,884,382"
"GSC","Internal Services","Services internes","337,037,076","341,947,236","337,037,076","341,947,236","236,870,598"
"CT","Process Cases","Traitement des affaires","874,363","1,019,714","874,363","1,019,714","1,353,452"
"CT","Internal Services","Services internes","651,557","568,982","651,557","568,982","383,360"
"RPSDP","Reprisal Hearings Program","Programme des audiences relatives aux représailles","940,308","1,686,603","940,308","1,686,603","1,659,741"
"RSCT","Registry Services","Services de greffe","1,391,712","1,825,649","1,391,712","1,825,649","1,604,871"
"RSCT","Internal Services","Services internes","773,560","608,627","773,560","608,627","532,742"
"RCMP","Community, Contract and Aboriginal Policing","Services de police communautaires, contractuels et autochtones","703,058,484",0,"703,058,484",0,0
"RCMP","Criminal Intelligence Operations","Programme Réglementation de l'énergie","61,270,934",0,"61,270,934",0,0
"RCMP","Police Operations","Opérations policières","646,231,717","1,667,296,027","646,231,717","1,667,296,027","1,913,573,311"
"RCMP","National Police Services","Services de police nationaux","136,596,259",0,"136,596,259",0,0
"RCMP","Policing Support Services","Services de soutien aux services de police","71,353,512",0,"71,353,512",0,0
"RCMP","Canadian Law Enforcement Services","Services canadiens d'application de la loi","377,072,923","256,203,400","377,072,923","256,203,400","260,304,114"
"RCMP","Technical Policing Operations","Opérations relatives à la police technique","207,049,783",0,"207,049,783",0,0
"RCMP","Survivor Income Plan","Plan de prestation des survivants","2,173,543",0,"2,173,543",0,0
"RCMP","Registration, Licensing and Supporting Infrastructure","Enregistrement des armes à feu","7,309,517",0,"7,309,517",0,0
"RCMP","Policy, Regulatory, Communication and Portfolio Intergration","Délivrance de permis des armes à feu et infrastructure de soutien","50,686,090",0,"50,686,090",0,0
"RCMP","Pensions under the RCMP Continuation Act","Pensions aux termes de la Loi sur la continuation des pensions de la GRC","16,480,442",0,"16,480,442",0,0
"RCMP","To compensate members of the RCMP for injuries received in the performance of duty","Indemnisation des membres de la GRC pour des blessures reçues dans l'exercice de leurs fonctions","93,289,285",0,"93,289,285",0,0
"RCMP","International Operations","Opérations internationales",0,"60,941,459",0,"60,941,459","61,606,341"
"RCMP","Canadian Police Culture and Heritage","Culture et patrimoine de la police canadienne",0,"12,330,273",0,"12,330,273","13,058,519"
"RCMP","Statutory Payments","Paiements législatifs",0,"122,818,236",0,"122,818,236","134,622,883"
"RCMP","Internal Services","Services internes","734,838,153","854,986,416","734,838,153","854,986,416","741,234,191"
"ERC","Independent and impartial case review","Examens des cas indépendant et impartial","1,463,373","1,691,892","1,463,373","1,691,892","1,595,595"
"ERC","Dissemination of information on the role of the Committee and its findings and recommendations, as well as on relevant legal principles","Activités de communications et diffusion des renseignements","320,994",0,"320,994",0,0
"PCC","Civilian review of RCMP members' conduct in the performance of their duties","Examen civil de la conduite des membres de la GRC dans l'exercice de leurs fonctions","3,031,278","3,453,073","3,031,278","3,453,073","3,127,446"
"PCC","Internal Services","Services internes","4,432,725","4,427,829","4,432,725","4,427,829","4,883,555"
"SIRC","Complaints","Plaintes","597,456","568,941","597,456","568,941","513,789"
"SIRC","Reviews","Études","1,038,633","1,107,798","1,038,633","1,107,798","1,053,569"
"SIRC","Internal Services","Services internes","1,047,233","1,156,815","1,047,233","1,156,815","1,333,915"
"OSEO","Senate Ethics Officer","Conseiller sénatorial en éthique","775,906","799,442","775,906","799,442","649,631"
"SHARE","Efficient and effective information technology infrastructure services are delivered across Government of Canada","Fournir des services d'infrastructure de TI efficients et efficaces dans tout le gouvernement du Canada",0,"561,305,828",0,"561,305,828","1,268,136,395"
"SHARE","Internal Services","Services internes",0,"61,038,395",0,"61,038,395","113,012,700"
"SSHRC","Insight: new knowledge in the social sciences and humanities","Savoir : de nouvelles connaissances en sciences humaines","54,953,361","56,962,165","54,953,361","56,962,165","139,741,893"
"SSHRC","Talent: attraction, retention and development of students and researchers in the social sciences and humanities","Talent : attirer, garder au pays et former les étudiants et les chercheurs des sciences humaines","119,263,910","120,279,297","119,263,910","120,279,297","172,287,321"
"SSHRC","Indirect Costs of Research","Coûts indirects de la recherche","329,771,752","332,020,788","329,771,752","332,020,788","332,129,423"
"SSHRC","Investigator-framed Research (theme area and subject defined by researcher(s))","Recherche définie par le chercheur(thème et sujet définis par le ou les chercheurs)","89,766,150","88,402,286","89,766,150","88,402,286",0
"SSHRC","Research Dissemination and Knowledge Translation","Diffusion de la recherche et adaptation des connaissances","8,894,160","11,864,119","8,894,160","11,864,119",0
"SSHRC","Strategic Research Development","Développement de la recherche stratégique","26,962,182","35,393,388","26,962,182","35,393,388",0
"SSHRC","Targeted Research and Training Initiatives","Recherche et formation ciblées","16,010,107","8,926,271","16,010,107","8,926,271",0
"SSHRC","Research Networking","Activités de réseautage liées à la recherche","26,147,370","27,571,878","26,147,370","27,571,878",0
"SSHRC","Connection: mobilization of social sciences and humanities knowledge","Connexion : mobilisation des connaissances en sciences humaines",0,0,0,0,"35,544,201"
"SSHRC","Internal Services","Services internes","17,326,935","16,433,470","17,326,935","16,433,470","16,729,745"
"SCA","Standards Council of Canada","Conseil canadien des normes","7,788,900","8,059,060","7,788,900","8,059,060","10,318,993"
"SC","Economics statistics","Statistique économique","181,796,271","184,678,503","181,796,271","184,678,503","195,580,123"
"SC","Social Statistics","Statistique sociale","132,149,618","125,388,409","132,149,618","125,388,409","155,830,812"
"SC","Census, Demography and Aboriginal Statistics","Statistique du recensement, de la démographie et sur les Autochtones","169,313,010","340,204,738","169,313,010","340,204,738","62,233,124"
"SC","Internal Services","Services internes","91,949,759","93,840,194","91,949,759","93,840,194","106,247,250"
"SCC","Court Operations","Opérations de la Cour","19,726,039","14,768,158","19,726,039","14,768,158","16,012,731"
"SCC","Process payments of various allowances to the Supreme Court judges pursuant to the Judgest Act","Traitement des paiements des diverses indemnités aux juges de la Cour suprême conformément à la Loi sur les juges",0,"5,724,347",0,"5,724,347","6,025,983"
"SCC","Internal Services","Services internes","10,569,652","10,962,683","10,569,652","10,962,683","9,181,104"
"CFDC","Investment In The Development of The Canadian Audiovisual Industry","Développement des auditoires pour les productions audiovisuelles canadiennes","89,722,935","90,433,320","89,722,935","90,433,320","71,735,355"
"CFDC","National and international Canadian content promotion support","Développement de l'industrie audiovisuelle canadienne","4,236,242","3,278,261","4,236,242","3,278,261","20,986,123"
"CFDC","Internal Services","Services internes","11,707,967","11,955,563","11,707,967","11,955,563","10,246,916"
"JCCB","The Jacques Cartier and Champlain Bridges Incorporated","Les ponts Jacques-Cartier et Champlain Inc.","89,999,001","97,329,991","89,999,001","97,329,991","109,054,244"
"SEN","Senators and their Offices","Sénateurs et bureaux des sénateurs","42,406,413","44,133,074","42,406,413","44,133,074","43,039,799"
"SEN","Chamber Operations","Fonctionnement de la Chambre","5,270,829","5,899,708","5,270,829","5,899,708",0
"SEN","Chamber, committees and associations","Chambre, comités et associations","8,861,135","10,462,950","8,861,135","10,462,950","17,019,654"
"SEN","Administrative Support","Soutien administratif","31,838,263","29,483,948","31,838,263","29,483,948","28,822,335"
"TC","Transportation Marketplace Frameworks","Cadres qui appuient le marché des transports","9,587,170","9,997,863","9,587,170","9,997,863","9,041,585"
"TC","Gateways and Corridors","Portes d'entrée et corridors","242,508,553","200,212,375","242,508,553","200,212,375","395,779,632"
"TC","Transportation Infrastructure","Infrastructures de transport","281,685,407","365,843,932","281,685,407","365,843,932","309,656,203"
"TC","Transportation Innovation","Innovation dans le secteur des transports","11,378,153","10,958,255","11,378,153","10,958,255","9,471,905"
"TC","Clean Air from Transportation","Air pur - Transport","16,621,004","13,861,144","16,621,004","13,861,144","18,760,359"
"TC","Clean Water from Transportation","Eau propre-Transport","8,222,308","7,411,839","8,222,308","7,411,839","6,947,514"
"TC","Environmental Stewardship of Transportation","Gérance de l'environnement - Transport","40,001,629","23,206,885","40,001,629","23,206,885","20,059,193"
"TC","Aviation Safety","Sécurité aérienne","211,375,485","221,920,185","211,375,485","221,920,185","198,628,602"
"TC","Marine Safety","Sécurité maritime","82,769,631","75,594,201","82,769,631","75,594,201","56,492,575"
"TC","Rail Safety","Sécurité ferroviaire","31,010,839","32,660,772","31,010,839","32,660,772","34,213,510"
"TC","Road Safety","Sécurité routière","42,079,857","23,838,054","42,079,857","23,838,054","22,458,347"
"TC","Transportation of Dangerous Goods","Transport des marchandises dangereuses","14,279,889","13,961,560","14,279,889","13,961,560","12,756,370"
"TC","Aviation Security","Sûreté aérienne","43,035,070","43,011,088","43,035,070","43,011,088","33,706,392"
"TC","Marine Security","Sûreté maritime","19,528,263","18,026,402","19,528,263","18,026,402","14,005,041"
"TC","Surface and Intermodal Security","Sûreté du transport terrestre et du transport intermodal","7,094,697","5,618,868","7,094,697","5,618,868","3,967,849"
"TC","Internal Services","Services internes","226,819,648","215,067,543","226,819,648","215,067,543","186,533,092"
"CAT","Review and Appeal Hearings","Audience en révision et en appel","1,388,515","1,375,240","1,388,515","1,375,240","1,243,208"
"CAT","Internal Services","Services internes","343,489","480,965","343,489","480,965","341,710"
"TBC","Government-wide funds and Public service employer payments","Fonds pangouvernementaux et paiements en tant qu'employeur de la fonction publique","1,968,478,193","2,192,868,962","1,968,478,193","2,192,868,962","2,500,372,807"
"TBC","Management Frameworks","Cadres de gestion","65,382,434","72,944,230","65,382,434","72,944,230","58,544,372"
"TBC","People Management","Gestion des ressources humaines","64,923,101","65,443,624","64,923,101","65,443,624","60,974,838"
"TBC","Expenditure Management","Gestion des dépenses","30,166,921","50,893,368","30,166,921","50,893,368","31,046,559"
"TBC","Financial Management","Gestion financière","29,200,530","28,829,749","29,200,530","28,829,749","30,866,718"
"TBC","Internal Services","Services internes","95,828,856","93,528,245","95,828,856","93,528,245","80,220,719"
"VAC","Health care program and re-establishment services","Programme de soins de santé et services de réinsertion","1,106,170,925","1,106,438,704","1,106,170,925","1,106,438,704","1,095,616,261"
"VAC","Compensation and Financial Support","Indemnités et soutien financier","2,269,781,598","2,261,126,982","2,269,781,598","2,261,126,982",0
"VAC","Veterans Review and Appeal Board redress process for disability pensions and awards","Processus de recours du Tribunal des anciens combattants (révision et appel) en matière des pensions et des indemnités d'invalidité","12,090,859",0,"12,090,859",0,0
"VAC","Veterans Ombudsman","Bureau de l'ombudsman des vétérans","4,944,854","5,644,498","4,944,854","5,644,498","5,073,438"
"VAC","National and International Memorials","Responsabilités commémoratives nationales et internationales","25,139,047","25,923,876","25,139,047","25,923,876",0
"VAC","Canada remembers program","Programme le Canada se souvient","15,506,583","16,945,193","15,506,583","16,945,193","42,969,111"
"VAC","Disability and Death Compensation","Indemnités d'invalidité et de décès",0,0,0,0,"2,141,827,143"
"VAC","Financial Support Program","Programme de soutien financier",0,0,0,0,"120,356,006"
"VAC","Internal Services","Services internes","81,761,220","81,007,997","81,761,220","81,007,997","80,385,882"
"VRAB","Review and Appeal","Processus de recours du Tribunal des anciens combattants (révision et appel) en matière des pensions et des indemnités d'invalidité",0,"12,746,298",0,"12,746,298","11,963,471"
"VIA","VIA Rail Canada Inc.","VIA Rail Canada Inc.","527,200,000","493,795,244","527,200,000","493,795,244","419,958,000"
"WDO","Business Development","Développement des entreprises","48,160,496","53,744,862","48,160,496","53,744,862","57,740,839"
"WDO","Community Economic Development","Développement économique des collectivités","304,492,528","39,889,572","304,492,528","39,889,572","35,377,579"
"WDO","Innovation","Innovation","77,101,698","66,545,014","77,101,698","66,545,014","59,830,577"
"WDO","Policy, Advocacy and Coordination","Politique, représentation et coordination","8,657,722","7,630,756","8,657,722","7,630,756","8,538,591"
"WDO","Internal Services","Services internes","28,078,908","27,473,277","28,078,908","27,473,277","22,230,897"
"ZGOC",,,"232,995,033,137","228,232,832,649","232,995,033,137","228,232,832,649","227,817,423,052"
