"Organisations","Vote*","Votestattype","Description","Description","Total authority available for use in 2010-11","Authority used in 2010-11","Total authority available for use in 2011-12","Authority used in 2011-12","Total authority available for use in 2010-11","Authority used in 2010-11","Total authority available for use in 2011-12","Authority used in 2011-12","Total authority available for use in 2012-13","Authority used in 2012-13"
"HRSD","(S)",999,"Ministre d'État (AÎnés)--Allocation pour automobile","Minister of State (Seniors)--Motor car allowance","2,122","2,122","2,021","2,021","2,122","2,122","2,021","2,021","2,000","2,000"
"HRSD","(S)",999,"Remboursements de montants portés aux revenus d'exercices antérieurs","Refunds of amounts credited to revenues in previous years","78,917","78,917","21,015","21,015","78,917","78,917","21,015","21,015","42,279","42,279"
"HRSD","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets","165,694","46,156","230,508","79,657","165,694","46,156","230,508","79,657","251,219","175,701"
"HRSD","(S)",999,"Dépenses en vertu du paragraphe 12(4) de la Loi canadienne sur l'épargne-études","Spending pursuant to section 12(4) of the Canada Education Saving Act","441,214","389,463","745,427","310,446","441,214","389,463","745,427","310,446","821,250","388,140"
"HRSD","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","269,092,675","269,092,675","259,792,635","259,792,635","269,092,675","269,092,675","259,792,635","259,792,635","239,120,937","239,120,937"
"HRSD","(S)",999,"Financement pluriannuel initial à Passeport pour ma réussite Canada afin d'appuyer ses programmes d'intervention précoce communautaires qui aideront les jeunes défavorisés à accéder aux études postsecondaires au Canada","Pathways to Education Canada upfront multi-year funding to support their community-based early intervention programs which will help disadvantaged youth access post-secondary education in Canada","2,000,000","2,000,000","6,000,000","6,000,000","2,000,000","2,000,000","6,000,000","6,000,000","6,000,000","6,000,000"
"HRSD","(S)",999,"Fonds pour l'amélioration des prestations de l'assurance-emploi conformément à la Loi d'exécution du budget de 2009","The provision of funds for the enhanced Employment Insurance benefits in accordance with the Budget Implementation Act, 2009","2,900,000,000","2,900,000,000",0,0,"2,900,000,000","2,900,000,000",0,0,"281,087,168","281,087,168"
"HRSD","(S)",999,"Paiements d'intérêts aux institutions de crédit en vertu de la Loi fédérale sur les prêts aux étudiants","The provision of funds for interest payments to lending institutions under the Canada Student Loans Act","13,276","13,276","6,526","6,526","13,276","13,276","6,526","6,526","7,107","7,107"
"HRSD","(S)",999,"Paiements relatifs aux obligations contractées sous forme de prêts garantis en vertu de la Loi fédérale sur les prêts aux étudiants","The provision of funds for liabilities including liabilities in the form of guaranteed loans under the Canada Student Loans Act","-7,570,680","-7,570,680","-8,475,496","-8,475,496","-7,570,680","-7,570,680","-8,475,496","-8,475,496","-7,731,850","-7,731,850"
"HRSD","(S)",999,"Paiements d'intérêts et autres obligations aux institutions de crédit en vertu de la Loi fédérale sur l'aide financière aux étudiants","The provision of funds for interest and other payments to lending institutions and liabilities under the Canada Student Financial Assistance Act","7,661,095","7,661,095","10,834,527","10,834,527","7,661,095","7,661,095","10,834,527","10,834,527","10,982,627","10,982,627"
"HRSD","(S)",999,"Paiements d'indemnités à des agents de l'État (Loi sur l'indemnisation des agents de l'État) et à des marins marchands (Loi sur l'indemnisation des marins marchands)","Payments of compensation respecting government employees (Government Employees Compensation Act) and merchant seamen (Merchant Seamen Compensation Act)","30,421,127","30,421,127","43,865,837","43,865,836","30,421,127","30,421,127","43,865,837","43,865,836","42,493,081","42,493,081"
"HRSD","(S)",999,"Versements de la Sécurité de la vieillesse (Loi sur la sécurité de la vieillesse)","Old Age Security Payments (Old Age Security Act)","27,213,489,490","27,213,489,490","28,868,796,840","28,868,796,840","27,213,489,490","27,213,489,490","28,868,796,840","28,868,796,840","30,589,905,671","30,589,905,671"
"HRSD","(S)",999,"Paiements de subventions canadiennes pour l'épargne-études aux fiduciaires de Régimes enregistrés d'épargne-études (REEE) au nom des bénéficiaires des REEE afin d'encourager les Canadiens à épargner pour les études postsecondaires de leurs enfants","Canada Education Savings grant payments to Registered Education Savings Plan (RESP) trustees on behalf of RESP beneficiaries to encourage Canadians to save for post-secondary education for their children","670,557,773","670,557,773","691,542,116","691,542,116","670,557,773","670,557,773","691,542,116","691,542,116","718,888,870","718,888,870"
"HRSD","(S)",999,"Bourses canadiennes aux fins d'études destinées aux étudiants à temps plein et à temps partiel admissibles aux termes de la Loi fédérale sur l'aide financière aux étudiants","Canada Student Grants to qualifying full and part-time students pursuant to the Canada Student Financial Assistance Act","620,686,072","620,686,072","648,936,690","648,936,690","620,686,072","620,686,072","648,936,690","648,936,690","680,159,050","680,159,050"
"HRSD","(S)",999,"Paiements liés aux modalités de financement direct accordés en vertu de la Loi fédérale sur l'aide financière aux étudiants","Payments related to the direct financing arrangement under the Canada Student Financial Assistance Act","462,689,776","462,689,776","493,520,224","493,520,224","462,689,776","462,689,776","493,520,224","493,520,224","501,324,600","501,324,600"
"HRSD","(S)",999,"Versements du Supplément de revenu garanti (Loi sur la sécurité de la vieillesse)","Guaranteed Income Supplement Payments (Old Age Security Act)","7,901,134,760","7,901,134,760","8,638,062,109","8,638,062,109","7,901,134,760","7,901,134,760","8,638,062,109","8,638,062,109","9,147,435,393","9,147,435,393"
"HRSD","(S)",999,"Versements d'allocations (Loi sur la sécurité de la vieillesse)","Allowance Payments (Old Age Security Act)","540,510,880","540,510,880","555,962,022","555,962,022","540,510,880","540,510,880","555,962,022","555,962,022","554,317,515","554,317,515"
"HRSD","(S)",999,"Prestation universelle pour la garde d'enfants (Loi sur la prestation universelle pour la garde d'enfants)","Universal Child Care Benefit (Universal Child Care Benefit Act)","2,651,153,321","2,651,153,321","2,691,016,827","2,691,016,827","2,651,153,321","2,651,153,321","2,691,016,827","2,691,016,827","2,724,715,150","2,724,715,150"
"HRSD","(S)",999,"Paiements de Bons d'études canadiens aux fiduciaires de Régimes enregistrés d'épargne-études (REEE) au nom des bénéficiaires des REEE afin d'appuyer l'accès à l'éducation postsecondaire des enfants de familles à faible revenu","Canada Learning Bond payments to Registered Education Savings Plan (RESP) trustees on behalf of RESP beneficiaries to support access to post-secondary education for children from low-income families","66,851,206","66,851,206","88,453,542","88,453,542","66,851,206","66,851,206","88,453,542","88,453,542","93,719,643","93,719,643"
"HRSD","(S)",999,"Paiements en vertu du Programme de protection des salariés aux personnes admissibles pour les salaires et les indemnités de vacances, les indemnités de départ et les indemnités de cessation d'emploi qui sont dus par les employeurs en faillite ou mis sous séquestre, de même que les paiements aux syndics et aux séquestres qui fourniront les renseignements nécessaires pour déterminer l'admissibilité","Wage Earner Protection Program payments to eligible applicants owed wages and vacation pay, severance pay and termination pay from employers who are either bankrupt or in receivership as well as payments to trustees and receivers who will provide the necessary information to determine eligibility","31,931,901","31,931,901","32,573,800","32,573,800","31,931,901","31,931,901","32,573,800","32,573,800","26,292,804","26,292,804"
"HRSD","(S)",999,"Paiements de Bons canadiens pour l'épargne-invalidité aux émetteurs de régimes enregistrés d'épargne-invalidité (REEI) au nom des bénéficiaires du REEI afin d'encourager la sécurité financière à long terme des personnes handicapées admissibles","Canada Disability Savings Bond payments to Registered Disability Savings Plan (RDSP) issuers on behalf of RDSP beneficiaries to encourage long-term financial security of eligible individuals with disabilities","36,410,724","36,410,724","70,009,827","70,009,827","36,410,724","36,410,724","70,009,827","70,009,827","68,843,852","68,843,852"
"HRSD","(S)",999,"Paiements de Subventions canadiennes pour l'épargne-invalidité aux émetteurs de régimes enregistrés d'épargne-invalidité (REEI) au nom des bénéficiaires du REEI afin d'encourager la sécurité financière à long terme des personnes handicapées admissibles","Canada Disability Savings Grant payments to Registered Disability Savings Plan (RDSP) issuers on behalf of RDSP beneficiaries to encourage long-term financial security of eligible individuals with disabilities","91,839,694","91,839,694","142,831,948","142,831,948","91,839,694","91,839,694","142,831,948","142,831,948","171,254,503","171,254,503"
"HRSD","(S)",999,"Prestation liée au coût de l'énergie","Energy Cost Benefit",0,0,"-7,875","-7,875",0,0,"-7,875","-7,875","-1,250","-1,250"
"HRSD","(S)",999,"Prestations de retraite supplémentaires--Pensions pour les agents des rentes sur l'État","Supplementary Retirement Benefits--Annuities agents' pensions","5,708","5,708","4,237","4,237","5,708","5,708","4,237","4,237","3,822","3,822"
"HRSD","(S)",999,"Redressements du passif actuariel de l'assurance de la fonction publique","Civil Service Insurance actuarial liability adjustments","49,593","49,593","-12,507","-12,507","49,593","49,593","-12,507","-12,507","8,437","8,437"
"IRB","10",1,"Dépenses du programme","Program expenditures","117,208,713","111,917,964","151,424,328","126,367,421","117,208,713","111,917,964","151,424,328","126,367,421","138,490,373","120,389,926"
"IRB","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets","1,303","1,303","1,615","1,615","1,303","1,303","1,615","1,615","2,029","2,029"
"IRB","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","13,639,316","13,639,316","14,439,588","14,439,588","13,639,316","13,639,316","14,439,588","14,439,588","13,866,488","13,866,488"
"INAC","1",1,"Dépenses de fonctionnement","Operating expenditures","1,403,926,188","1,351,027,909","1,387,289,273","1,343,312,841","1,403,926,188","1,351,027,909","1,387,289,273","1,343,312,841","1,451,057,386","1,273,102,915"
"INAC","5",2,"Dépenses en capital","Capital expenditures","10,666,000","23,000","5,102,055","2,054,014","10,666,000","23,000","5,102,055","2,054,014","21,283,226","9,480,920"
"INAC","10",3,"Subventions et contributions","Grants and contributions","6,600,251,357","6,554,975,289","6,371,857,634","6,338,019,045","6,600,251,357","6,554,975,289","6,371,857,634","6,338,019,045","6,811,077,891","6,630,942,897"
"INAC",15,5,"Paiements à la Société canadienne des postes","Payments to Canada Post Corporation","59,000,000","59,000,000",0,0,"59,000,000","59,000,000",0,0,0,0
"INAC",20,1,"Bureau de l'Interlocuteur fédéral auprès des Métis et des Indiens non inscrits--Dépenses de fonctionnement","Office of the Federal Interlocutor for Métis and non-status Indians--Operating expenditures","9,860,733","9,213,258",0,0,"9,860,733","9,213,258",0,0,0,0
"INAC",25,3,"Bureau de l'Interlocuteur fédéral auprès des Métis et des Indiens non inscrits--Contributions","Office of the Federal Interlocutor for Métis and non-status Indians--Contributions","29,939,000","29,259,211",0,0,"29,939,000","29,259,211",0,0,0,0
"INAC","(S)",999,"Ministre des Affaires indiennes et du Nord canadien-Traitement et allocation pour automobile","Minister of Indian Affairs and Northern Development-Salary and motor car allowance","76,594","76,594","77,536","77,536","76,594","76,594","77,536","77,536","76,003","76,003"
"INAC","(S)",999,"Montants adjugés par une cour","Court awards","464,611","464,611","299,565","299,565","464,611","464,611","299,565","299,565","4,032,732","4,032,732"
"INAC","(S)",999,"Remboursements de montants portés aux revenus d'exercices antérieurs","Refunds of amounts credited to revenues in previous years","2,085,177","2,085,177","1,223,282","1,223,282","2,085,177","2,085,177","1,223,282","1,223,282","1,287,943","1,287,943"
"INAC","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets","559,005","180,995","745,109","352,846","559,005","180,995","745,109","352,846","2,288,320","596,555"
"INAC","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans",0,0,0,0,0,0,0,0,"70,540,465","70,540,465"
"INAC","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","69,017,460","69,017,460","72,025,681","72,025,681","69,017,460","69,017,460","72,025,681","72,025,681",0,0
"INAC","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","823,769","823,769",0,0,"823,769","823,769",0,0,0,0
"INAC","(S)",999,"Subventions aux organismes autochtones identifiés pour recevoir des paiements à l'égard des revendications en vertu des lois sur le règlement des revendications territoriales globales","Grants to aboriginal organizations designated to receive claim settlement payments pursuant to comprehensive land claim settlement acts","53,931,817","53,931,817","77,294,428","77,294,428","53,931,817","53,931,817","77,294,428","77,294,428","69,488,308","69,488,308"
"INAC","(S)",999,"Subvention au gouvernement du Nunatsiavut pour la mise en oeuvre de l'Accord sur les revendications territoriales des Inuits du Labrador en vertu de la Loi sur l'Accord sur les revendications territoriales des Inuits du Labrador","Grant to the Nunatsiavut Government for the implementation of the Labrador Inuit Land Claims Agreement pursuant to the Labrador Inuit Land Claims Agreement Act","36,715,426","36,715,426","36,715,426","36,715,426","36,715,426","36,715,426","36,715,426","36,715,426","27,342,771","27,342,771"
"INAC","(S)",999,"Rentes versées aux Indiens--Paiements en vertu de traités (Loi sur les Indiens)","Indian Annuities Treaty payments (Indian Act)","1,523,476","1,523,476","1,866,646","1,866,646","1,523,476","1,523,476","1,866,646","1,866,646","1,943,238","1,943,238"
"INAC","(S)",999,"Obligations relatives aux garanties de prêts accordés aux Indiens pour le logement et le développement économique (Loi sur les Indiens)","Liabilities in respect of loan guarantees made to Indians for housing and economic development (Indian Act)","1,354,364","1,354,364","88,623","88,624","1,354,364","1,354,364","88,623","88,624","1,545,570","1,545,570"
"INAC","(S)",999,"Paiement sur le Trésor en vertu de prêts garantis émis du Compte d'expansion économique des Indiens (limite autorisée 60 000 000 $)","Payment from the Consolidated Revenue Fund of guaranteed loans issued out of the Indian economic development account (authorized limit $60,000,000)","31,735,892",0,"32,490,796",0,"31,735,892",0,"32,490,796",0,"32,490,796",0
"INAC","(S)",999,"Paiements d'indemnités aux bénéficiaires des revendications territoriales globales pour des redevances sur les ressources","Payments to comprehensive claim beneficiaries in compensation for resource royalties","7,334,275","7,334,275","7,553,204","7,553,204","7,334,275","7,334,275","7,553,204","7,553,204","4,762,025","4,762,025"
"TRC","35",1,"Dépenses du programme","Program expenditures","31,758,318","10,176,036","33,628,452","18,621,980","31,758,318","10,176,036","33,628,452","18,621,980","14,896,848","11,257,205"
"TRC","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","457,461","457,461","623,173","623,173","457,461","457,461","623,173","623,173","561,110","561,110"
"ISC","1",1,"Dépenses de fonctionnement","Operating expenditures","442,489,096","416,863,455","441,380,244","403,765,189","442,489,096","416,863,455","441,380,244","403,765,189","438,878,197","411,743,681"
"ISC","5",2,"Dépenses en capital","Capital expenditures","15,516,051","14,835,184","15,611,312","13,978,234","15,516,051","14,835,184","15,611,312","13,978,234","16,902,251","15,198,548"
"ISC","10",3,"Subventions et contributions","Grants and contributions","1,419,803,832","1,127,975,396","750,345,737","654,278,419","1,419,803,832","1,127,975,396","750,345,737","654,278,419","794,946,571","704,527,513"
"ISC","(S)",999,"Ministre de l'Industrie-Traitement et allocation pour automobile","Minister of Industry-Salary and motor car allowance","81,638","81,638","77,577","77,577","81,638","81,638","77,577","77,577","77,516","77,516"
"ISC","(S)",999,"Ministre d'État (Sciences et technologie) (Agence fédérale de développement économique pour le Sud de l'Ontario)  Allocation pour automobile","Minister of State (Science and Technology) (Federal Economic Development Agency for Southern Ontario)  Motor car allowance",0,0,"2,000","2,000",0,0,"2,000","2,000","2,000","2,000"
"ISC","(S)",999,"Ministre d'État (Petite entreprise et tourisme Allocation pour automobile","Minister of State (Small Business and Tourism)  Motor car allowance",0,0,"2,000","2,000",0,0,"2,000","2,000","2,000","2,000"
"ISC","(S)",999,"Remboursements de montants portés aux revenus d'exercices antérieurs","Refunds of amounts credited to revenues in previous years","720,107","720,107","852,352","852,352","720,107","720,107","852,352","852,352","1,815,692","1,815,692"
"ISC","(S)",999,"Pertes sur opérations de change","Losses on foreign exchange","8,170","8,170",0,0,"8,170","8,170",0,0,0,0
"ISC","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets","477,522","203,252","494,168","164,354","477,522","203,252","494,168","164,354","464,069","238,765"
"ISC","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","62,736,172","62,736,172","60,297,940","60,297,940","62,736,172","62,736,172","60,297,940","60,297,940","58,436,487","58,436,487"
"ISC","(S)",999,"Contributions à la Fondation canadienne des jeunes entrepreneurs","Contributions to the Canadian Youth Business Foundation","50,000,000","50,000,000","11,010,400","11,010,400","50,000,000","50,000,000","11,010,400","11,010,400","10,000,000","10,000,000"
"ISC","(S)",999,"Obligations contractées en vertu de la Loi sur les prêts aux petites entreprises","Liabilities under the Small Business Loans Act","114,315","114,315","37,396","37,396","114,315","114,315","37,396","37,396",99,99
"ISC","(S)",999,"Obligations contractées en vertu de la Loi sur le financement des petites entreprises du Canada","Liabilities under the Canada Small Business Financing Act","82,804,730","82,804,730","69,360,155","69,360,155","82,804,730","82,804,730","69,360,155","69,360,155","52,081,540","52,081,540"
"ISC","(S)",999,"Subvention à Genome Canada","Grant to Genome Canada","46,900,000","46,900,000","55,100,000","55,100,000","46,900,000","46,900,000","55,100,000","55,100,000","35,700,000","35,700,000"
"ISC","(S)",999,"Contributions à Genome Canada","Contributions to Genome Canada",0,0,0,0,0,0,0,0,"28,300,000","28,300,000"
"ISC","(S)",999,"Contributions en vertu du Programme d'infrastructure du savoir","Contributions under the Knowledge infrastructure program","256,151,948","256,151,948","182,771,499","182,771,499","256,151,948","256,151,948","182,771,499","182,771,499","49,912,858","49,912,858"
"ISC","(S)",999,"Fonds renouvelable de l'Office de la propriété intellectuelle du Canada","Canadian Intellectual Property Office Revolving Fund","153,755,837","-4,396,772","158,152,609","-4,987,335","153,755,837","-4,396,772","158,152,609","-4,987,335","163,139,944","-10,453,981"
"IDRC","45",5,"Versements au Centre de recherches pour le développement international","Payments to the International Development Research Centre","195,917,432","195,917,432","237,907,649","237,907,649","195,917,432","195,917,432","237,907,649","237,907,649","241,646,094","156,223,043"
"IJC","50",1,"Dépenses du programme","Program expenditures","8,472,000","8,148,135","8,333,033","7,577,459","8,472,000","8,148,135","8,333,033","7,577,459","6,740,732","6,016,714"
"IJC","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","454,935","454,935","473,637","473,637","454,935","454,935","473,637","473,637","490,784","490,784"
"JUS","1",1,"Dépenses de fonctionnement","Operating expenditures","323,035,845","296,305,685","323,544,809","284,965,006","323,035,845","296,305,685","323,544,809","284,965,006","298,836,785","271,365,551"
"JUS","5",3,"Subventions et contributions","Grants and contributions","397,956,000","385,764,244","395,698,536","381,614,514","397,956,000","385,764,244","395,698,536","381,614,514","391,677,223","384,330,338"
"JUS","(S)",999,"Ministre de la Justice et procureur général du Canada-Traitement et allocation pour automobile","Minister of Justice and Attorney General of Canada-Salary and motor car allowance","77,638","77,638","77,537","77,536","77,638","77,638","77,537","77,536","77,516","77,516"
"JUS","(S)",999,"Remboursements de montants portés aux revenus d'exercices antérieurs","Refunds of amounts credited to revenues in previous years","80,793","80,793","84,117","84,117","80,793","80,793","84,117","84,117","113,238","113,238"
"JUS","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets","25,101","8,754","19,114",0,"25,101","8,754","19,114",0,"4,323","2,767"
"JUS","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","79,246,015","79,246,015","78,266,591","78,266,591","79,246,015","79,246,015","78,266,591","78,266,591","78,093,438","78,093,438"
"LAC","(S)",999,"Remboursements de montants portés aux revenus d'exercices antérieurs","Refunds of amounts credited to revenues in previous years",0,0,"1,903","1,903",0,0,"1,903","1,903",0,0
"LAC","55",1,"Dépenses de fonctionnement","Operating expenditures","104,602,814","95,858,272","102,241,090","98,815,438","104,602,814","95,858,272","102,241,090","98,815,438","96,728,242","88,269,819"
"LAC","60",2,"Dépenses en capital","Capital expenditures","11,997,971","3,659,653","10,350,000","643,500","11,997,971","3,659,653","10,350,000","643,500","19,352,500","18,365,712"
"LAC","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets","288,941","200,342","308,205","88,599","288,941","200,342","308,205","88,599","351,493",0
"LAC","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","12,147,473","12,147,473","12,471,923","12,471,923","12,147,473","12,147,473","12,471,923","12,471,923","12,287,701","12,287,701"
"LP","10",1,"Dépenses du programme","Program expenditures","38,096,000","36,972,594","37,496,080","36,369,707","38,096,000","36,972,594","37,496,080","36,369,707","39,331,080","39,330,783"
"LP","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","4,948,977","4,948,977","4,937,897","4,937,897","4,948,977","4,948,977","4,937,897","4,937,897","5,097,168","5,097,168"
"CNMI","35",5,"Paiements à Marine Atlantique SCC","Payments to Marine Atlantic Inc.","219,647,001","210,927,022","202,085,000","183,290,595","219,647,001","210,927,022","202,085,000","183,290,595","185,376,000","184,876,000"
"MPCC","25",1,"Dépenses du programme","Program expenditures","6,761,121","4,182,558","5,779,116","4,666,944","6,761,121","4,182,558","5,779,116","4,666,944","8,514,793","4,995,927"
"MPCC","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'état","Spending of proceeds from the disposal of surplus Crown assets",66,0,93,0,66,0,93,0,31,0
"MPCC","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","240,532","240,532","255,976","255,976","240,532","240,532","255,976","255,976","305,562","305,562"
"NAC","65",5,"Paiements à la Société du Centre national des Arts à l'égard des dépenses de fonctionnement","Payments to the National Arts Centre Corporation for operating expenditures","36,134,981","36,131,175","35,781,175","35,781,174","36,134,981","36,131,175","35,781,175","35,781,174","35,706,175","35,601,174"
"NBC","70",1,"Dépenses du programme","Program expenditures","7,853,271","7,139,887","7,520,729","7,163,406","7,853,271","7,139,887","7,520,729","7,163,406","7,503,774","7,016,448"
"NBC","(S)",999,"Dépenses aux termes du paragraphe 29.1(1) de la Loi sur la gestion des finances publiques","Expenditures pursuant to subsection 29.1(1) of the Financial Administration Act","2,231,335","2,231,335","2,115,612","2,115,610","2,231,335","2,231,335","2,115,612","2,115,610","2,083,594","2,083,592"
"NBC","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","517,418","517,418","525,339","525,339","517,418","517,418","525,339","525,339","523,101","523,101"
"NCC","55",5,"Paiements à la Commission de la capitale nationale pour les dépenses de fonctionnement","Payments to the National Capital Commission for operating expenditures","83,943,115","83,467,313","84,351,010","84,289,995","83,943,115","83,467,313","84,351,010","84,289,995","82,168,872","81,575,872"
"NCC","60",5,"Paiements à la Commission de la capitale nationale pour les dépenses en capital","Payments to the National Capital Commission for capital expenditures","79,838,001","74,848,001","31,386,000","23,196,101","79,838,001","74,848,001","31,386,000","23,196,101","45,290,001","27,258,001"
"ND","1",1,"Dépenses de fonctionnement","Operating expenditures","15,689,460,901","14,759,621,065","15,417,928,462","15,039,558,546","15,689,460,901","14,759,621,065","15,417,928,462","15,039,558,546","16,123,500,161","15,001,660,268"
"ND","5",2,"Dépenses en capital","Capital expenditures","5,311,274,607","3,807,286,445","4,322,834,649","3,255,231,544","5,311,274,607","3,807,286,445","4,322,834,649","3,255,231,544","3,322,187,877","3,059,268,913"
"ND","10",3,"Subventions et contributions","Grants and contributions","272,490,669","260,863,017","241,678,002","205,008,428","272,490,669","260,863,017","241,678,002","205,008,428","215,367,761","177,501,812"
"ND","(S)",999,"Ministre associé de la Défense nationale-Traitement et allocation pour automobile","Associate Minister of National Defence-Salary and motor car allowance",0,0,"72,525","72,525",0,0,"72,525","72,525","28,079","28,079"
"ND","(S)",999,"Ministre de la Défense nationale - Traitement et allocation pour automobile","Minister of National Defence - Salary and motor car allowance","77,638","77,638","72,530","72,530","77,638","77,638","72,530","72,530","77,516","77,516"
"ND","(S)",999,"Honoraires-Agence de recouvrement","Collection agency fees","2,408","2,408","2,534","2,534","2,408","2,408","2,534","2,534","4,015","4,015"
"ND","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets","21,906,782","11,000,773","37,222,217","20,497,864","21,906,782","11,000,773","37,222,217","20,497,864","55,396,628","27,727,965"
"ND","(S)",999,"Contributions aux régimes d'avantages sociaux des employés - Membres militaires","Contributions to employee benefit plans - Members of the military","336,178,051","336,178,051","332,628,046","332,628,046","336,178,051","336,178,051","332,628,046","332,628,046","302,099,238","302,099,238"
"ND","(S)",999,"Contributions aux régimes d'avantages sociaux des employés – Membres militaires","Contributions to employee benefit plans—Members of the military","1,117,759,795","1,117,759,795","1,360,948,151","1,360,948,151","1,117,759,795","1,117,759,795","1,360,948,151","1,360,948,151","1,405,619,169","1,405,619,169"
"ND","(S)",999,"Versements aux ayants droits de certains membres de l'Aviation royale du Canada tués dans l'exercice de leurs fonctions alors qu'ils servaient à titre d'instructeurs dans le cadre du Plan d'entraînement des aviateurs du Commonwealth britannique (Loi no 4 de 1968 portant affectation de crédits)","Payments to dependants of certain members of the Royal Canadian Air Force killed while serving as instructors under the British Commonwealth Air Training Plan (Appropriation Act No. 4, 1968)","45,320","45,320","44,918","44,918","45,320","45,320","44,918","44,918","23,030","23,030"
"ND","(S)",999,"Versements en vertu de la Loi sur les prestations de retraite supplémentaires","Payments under the Supplementary Retirement Benefits Act","4,492,604","4,492,604","3,881,303","3,881,303","4,492,604","4,492,604","3,881,303","3,881,303","3,467,313","3,467,313"
"ND","(S)",999,"Versements en vertu des parties I à IV de la Loi sur la continuation de la pension des services de défense","Payments under Parts I-IV of the Defence Services Pension Continuation Act","929,668","929,668","811,472","811,472","929,668","929,668","811,472","811,472","712,813","712,813"
"NEB","25",1,"Dépenses du programme","Program expenditures","56,790,854","52,034,195","60,678,254","57,099,363","56,790,854","52,034,195","60,678,254","57,099,363","66,896,544","61,997,295"
"NEB","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets",220,0,52,0,220,0,52,0,104,0
"NEB","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","6,817,822","6,817,822","7,276,250","7,276,250","6,817,822","6,817,822","7,276,250","7,276,250","7,548,346","7,548,346"
"NFB","75",1,"Dépenses du programme","Program expenditures","68,485,967","67,883,047","68,786,074","66,904,057","68,485,967","67,883,047","68,786,074","66,904,057","70,434,916","68,163,346"
"NFB","(S)",999,"Fonds renouvelable de l'Office national du film","National Film Board Revolving Fund","5,827,859","-475,902","6,303,761","-51,479","5,827,859","-475,902","6,303,761","-51,479","6,355,240","588,515"
"NGC","80",5,"Paiements au Musée des beaux-arts du Canada à l'égard des dépenses de fonctionnement et des dépenses en capital","Payments to the National Gallery of Canada for operating and capital expenditures","43,102,120","43,102,120","41,666,146","41,586,146","43,102,120","43,102,120","41,666,146","41,586,146","40,830,762","40,830,762"
"NGC","85",5,"Paiement au Musée des beaux-arts du Canada à l'égard de l'acquisition d'objets pour la collection et des frais connexes découlant de cette activité","Payment to the National Gallery of Canada for the acquisition of objects for the Collection and other costs attributable to this activity","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000"
"NMST","90",5,"Paiements au Musée national des sciences et de la technologie à l'égard des dépenses de fonctionnement et des dépenses en capital","Payments to the National Museum of Science and Technology for operating and capital expenditures","35,371,192","35,371,192","30,304,286","30,304,286","35,371,192","35,371,192","30,304,286","30,304,286","31,517,305","31,517,304"
"NPB","35",1,"Dépenses du programme","Program expenditures","43,861,693","40,207,239","50,775,726","45,895,829","43,861,693","40,207,239","50,775,726","45,895,829","48,837,721","40,181,044"
"NPB","(S)",999,"Remboursements de montants portés aux revenus d'exercices antérieurs","Refunds of amounts credited to revenues in previous years",0,0,650,650,0,0,650,650,"3,533","3,533"
"NPB","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets","21,407","5,726","67,139","15,680","21,407","5,726","67,139","15,680","57,735","51,458"
